Verse,Text
1,"Todabu kʼamone̩ wewe mʼo̩la e̩wñ ki chʼo̩gbali ef e̩do̩-wa le̩ ko nyʼo̩wo̩ acholi jo̩ okoke, "
2,dabalu kʼabo ku ma li o̩la le̩ kpai eju-ma ku ma laño̩ chʼabuko̩lo̩-wñ kwʼabakwane̩ mʼu du ka ñw a; 
3,"abu kʼu fʼe̩re̩ e̩wñ le̩ du chi kwʼuchane̩-wñ o̩bio̩bie̩, omi ño̩ do̩ ki nyo̩ kʼu ko̩ o̩takada rʼuwe̩ alu ki de̩ aro̩ne aro̩ne, Teo̩filo̩s uwe̩ e̩ne̩gbani; "
4,todu kʼuwe̩ ki ma o̩kpaka o̩la ku ma ko̩ we̩ le̩.
5,"Ef o̩kpanachi He̩ro̩d, onu Judia, atamaʼka do̩mo̩ kʼodu-wñ ko̩ Zekaraya, abo uche̩ Abaija i che; o̩ya-wñ dʼef amo̩ma Aro̩n, odu-wñ la ko̩ E̩lizabe̩t. "
6,"Ama meji le̩ la chʼame̩no̩kpakpa eju O̩jo̩, ma nʼule̩-ma ale ef o̩la uko̩ Ondu kpʼe̩wñ o̩kpakpa-wñ du, ma nʼuchalu n. "
7,"Ma muda nʼo̩ma n, todabu kʼE̩lizabe̩t chʼagaji; ama meji la lewa tʼo̩jo̩ ogijo-ma e̩gba kʼa ka-i."
8,"Oñ i leatʼe̩gba kʼe̩ne̩-i nʼucholo agboji amatama ache o̩gba O̩jo̩ adiko kʼabo uche̩-wñ le̩ gbʼo̩jo̩ e-ma, "
9,"alu kʼucholo atama le̩ te̩te̩de̩, ukpe̩-wñ kʼi ache chʼegudu tef unyi Ondu ejefu kʼi gu e̩wñ ki akpo jo. "
10,Oñ ugwe̩ko̩ amone̩ du jʼo̩do̩da achadua ef auwa ki chʼadiko ku ma gu e̩wñ ki akpo jo le̩. 
11,"Tak onuche̩ Onduʼka kwotejugede ñw u, i dago o̩wo̩ awo̩to̩ ubo̩ ku ma gu e̩wñ ki akpo le̩ jo oji-wñ. "
12,"Oñ abu ku Zekaraya li u, e̩do̩ ñwañwala la je̩ ñw u n, ailo la fʼu mu. "
13,"Ama onuche̩ O̩jo̩ le̩ ka ñw u kakini, E̩ ki railo n, Zekaraya; todabu ku ma fʼo̩ko̩ kʼe̩ gbabʼo̩ le̩ gbo̩ me̩, o̩ya-we̩ E̩lizabe̩t la abi o̩ma e̩ne̩ke̩le̩ ñw e̩, tak uwe̩ adʼodu-wñ ko̩ Jo̩n."
14,"Uyo̩ kpai egwoguyo̩ la achʼe-we̩,"
15,"Todu i anana eju Ondu,"
16,"I la aje̩ ñw amo̩ma Israe̩l wewe rida tʼOndu, O̩jo̩-ma."
17,"E̩ne̩-i adʼo̩gba eju-wñ alo ef afu kpai ukpahiu E̩laija,"
18,"Taku Zekaraya ka ñw onuche̩ le̩ kakini, Lugbo e̩wñ oñ nama e-kide̩? todu omi chʼogijo, o̩ya-mi la lewa tʼo̩jo̩ ogijo-wñ me̩. "
19,"Tak onuche̩ O̩jo̩ dohi ñw u kakini, Omi che Gebrie̩l ki adago o̩gba O̩jo̩; oñ ma kpʼumi wa kʼu ko̩la ñw e̩, kʼu laño̩ jʼuche̩nyo̩ e̩wñ-i rʼuwe̩. "
20,"E̩ la go, uwe̩ ahialu de, e̩ la neke ko̩la n, gbogbo kad o̩jo̩ kʼe̩wñ kide̩ awache, todabu kʼe̩ ma ke̩do̩nʼo̩la-mi e-ki awache adiko-wñ n. "
21,"Oñ amone̩ jo̩ aneju Zekaraya, ma la yaye abu kʼi akpo̩kpe̩ ef unyi O̩jo̩ ejefu. "
22,"Abu kʼi la kwodufu, i neke ko̩la ñwu ma n; taku ma ma ka kʼi fʼane̩ʼka go ef unyi O̩jo̩ ejefu le̩; oñ i do̩mo̩ anʼo̩wo̩ ko̩la ñwu ma; alu-wñ la chʼe̩ji waa. "
23,"Oñ i leatʼe̩gba kʼo̩jo̩ kʼi achabune̩ e-wñ jo̩ kpa, tak i kwʼo̩mo̩ le tʼunyi-wñ."
24,"Tak abu kʼadiko le̩ lerane̩ E̩lizabe̩t o̩ya-wñ fʼefu nyo̩; oñ i dʼo̩la-wñ maja ochu me̩lu, i kakini, "
25,"Abe̩le̩ Ondu che ñwu mi ef o̩jo̩ kʼi wa go mi, kʼi mʼicha ku ma ka ñwu mi ef amone̩ du kwobʼumi te̩."
26,"Oñ ochu e̩ke̩fa-wñ ma fu Gebrie̩l onuche̩ le̩ kpe̩ kwugbo O̩jo̩ nyʼewo Galili kʼodu-wñ ko̩ Nazare̩t, "
27,"ugbo igbe̩le̩ʼka ki ma mʼe̩ne̩ke̩le̩ n ku ma dukpo̩ e̩ne̩ke̩le̩ kʼodu-wñ ko̩ Jose̩f, o̩lo̩pu Defid i che. Odu igbe̩le̩ le̩ la ko̩ Me̩ri. "
28,"Oñ abu kʼi mugudu wʼugbo-wñ, i kakini, Agba-o, uwe̩ ku ma chʼufe̩de̩nyo̩ ñw u le̩, Ondu dʼubi-we̩. "
29,Oñ i kwodejiji nana noj o̩la kʼi ka le̩; i chane̩ ekpibe alu kʼugwa le̩ de̩. 
30,"Tak onuche̩ le̩ ka ñw u kakini, E̩ ki railo n, Me̩ri; todu e̩ fʼufe̩de̩nyo̩ li ugbo O̩jo̩ me̩. "
31,"E̩ la go, uwe̩ anyefu, e̩ la abi o̩ma e̩ne̩ke̩le̩, uwe̩ ki la dʼodu-wñ ko̩ JISUS."
32,"Owñ le̩ anana,"
33,oñ i ajonu abo unyi Jeko̩b tʼogbegbele̩;
34,"Oñ Me̩ri ka ñw onuche̩ le̩ kakini, Abu kʼu ma mʼe̩ne̩ke̩le̩ n, abʼe̩wñ-i ale ki ache ta? "
35,"Tak onuche̩ le̩ dohi ñw u kakini,"
36,"E̩ la go, E̩lizabe̩t, efu-we̩ le̩, ño̩ fʼefu nyo̩ o̩jo̩ ogijo-wñ ge̩; ochu e̩ke̩fa kʼe̩ne̩ ku ma do̩ kʼagaji le̩ nyʼefu-i de̩. "
37,Todu e̩wñ du kʼi ma neke che n dʼugbo O̩jo̩ n. 
38,"Oñ Me̩ri kakini, Go, adu Ondu u che; i ki wache ñwu mi alu kʼe̩ ka. Tak onuche̩ le̩ kwʼugbo-wñ le."
39,"Oñ Me̩ri kwane̩ iko le, i la hiane̩ alo tʼane̩ uwo nyʼewo Judaʼka; "
40,"oñ i mugudu tʼef unyi Zekaraya, afʼE̩lizabe̩t gwa. "
41,"Oñ i leatu abu kʼE̩lizabe̩t gbo̩ ugwa Me̩ri, o̩ma muro̩ kpu ef uwñ; tak Afu Kiafo̩ che̩ko̩ E̩lizabe̩t efu, "
42,"oñ E̩lizabe̩t dʼomu nyʼojale kwa nana kakini, Uwe̩ ma de̩nyo̩ ñw u ef abobule̩, O̩jo̩ laño̩ de̩nyo̩ ñw e̩ro abio̩ma-we̩ ge̩. "
43,Ugbo oñ omi nʼe-i kwo ta? kʼiye Ondu-mi awʼugbo-mi? 
44,"Todu go, abu kʼomu ugwa-we̩ muta tʼumi eti, o̩ma muro̩ kpu ef efu-mi noj uyo̩, "
45,"E̩ne̩ ki ke̩do̩no le̩ gbede, todu e̩wñ du ku ma ka ñw u kwʼugbo Ondu ache kpoji. "
46,"Taku Me̩ri kakini,"
47,afu-mi agwoguyo̩ ef O̩jo̩ E̩najadu-mi me̩
48,"todu i wa go alu kʼaduwñ onobule̩-i chʼe̩niba; todu, go, akwe̩gba-i abo o̩gba o̩gba du ado̩ mi ko̩ e̩ne̩-ugbede."
49,Todu e̩ne̩ ki nʼukpahiu le̩ fʼe̩wñ ki nana che ñwu mi me̩;
50,Oñ ejumomi-wñ dʼugbo abo ku ma railo owñ
51,I fʼukpahiu-wñ che kpai o̩wo̩-wñ; i fʼabo ku ma chʼikatabani kpatuka ef ibe ku ma kpe̩.
52,I mʼabukpahiu yo̩ tane̩ bʼoj ede te̩;
53,I je̩ ñw efu abo kʼebi kpa ma ki ko̩ ñw e̩wñ e̩nyo̩;
54,"I fʼabune̩ Israe̩l, imo̩to̩-wñ, che,"
55,(alu kʼi ko̩la ñw amata-wa)
56,"Oñ Me̩ri bʼo̩ gugu dab ochu me̩ta, tak i dabi tʼunyi-wñ."
57,"O̩jo̩ o̩ma-ebi Elizabe̩t la jo̩, oñ i fʼo̩ma e̩ne̩ke̩le̩ bi. "
58,Abadogbe-wñ kpai amefu-wñ la gbo̩ ka kʼOndu li u ejumomi nana tabale; oñ ma bʼo̩ yo̩. 
59,"Oñ i leatu o̩jo̩ eke̩jo̩-wñ, ma lewa ku ma de̩pi imo̩to̩ le̩; ma le ku ma dʼodu-wñ ko̩ Zekaraya alu kʼodu ata-wñ ko̩. "
60,"Iye-wñ muda dohi kakini, O̩da, ma adʼodu-wñ ko̩ Jo̩n; "
61,"oñ ma ka ñw u kakini, I nʼe̩ne̩ du kʼodu-wñ ko̩ abe̩le̩ ef amefu-we̩ n. "
62,Oñ ma dʼo̩wo̩ ko̩la ñw ata-wñ ku ma li e̩wñ ki dʼowñ e̩do̩ ku ma dʼodu-wñ ko̩. 
63,"Tak i fʼalo bi, oñ ikʼolubutu kakini, Odu-wñ ko̩ Jo̩n. Tak o̩chaka-ma kwoyaye. "
64,"E̩re̩re̩ le̩ alu-wñ muchi, iku ukpalu-wñ mutu, tak i nako̩la akele O̩jo̩. "
65,Oñ ailo kwoba abadogbe-ma du; o̩la-i du la mud oluka ane̩ uwo Judia chaka. 
66,"Abo du ku ma la gbʼo̩ mʼu du tef e̩do̩-ma, ma kakini, Abʼimo̩to̩ kide̩ ade̩ ta? Todu o̩wo̩ Ondu dʼubi owñ."
67,"Tak ata-wñ Zekaraya che̩ko̩ ñw Afu Kiafo̩ oñ i chane̩ ekache̩ kakini,"
68,"Ondu, O̩jo̩ e-Israe̩l ki nele;"
69,"i laño̩ mʼigba ujadu du kwane̩ ñw a ef unyi Defid imo̩to̩-wñ,"
70,(dabalu kʼi ko̩la lef amakache̩-wñ kiafo̩ kwo igbelegbele).
71,"Ujadu ki ajadu wa bʼame̩nebi-wa te̩,"
72,"kʼi chejumomi amata-wa,"
73,"owñ chʼego̩ kʼi go̩ ñw Ebraham ata-wa,"
74,"ka kʼabu ku ma mʼuwa gba tane̩ kwef o̩wo̩ ame̩nebi-wa,"
75,Ef efo̩ kʼe̩wñ afo̩ kpai o̩kpakpa o̩gba-wñ o̩jo̩ du
76,"Oñ uwe̩ ge̩, o̩ma-i, ma adʼuwe̩ ko̩ akache̩ e-O̩jo̩ Chamachala,"
77,kʼe̩ je̩ ñw amone̩-wñ ma ujadu ef eto̩no̩
78,"lef ibefu e-ejumomi e-O̩jo̩-wa,"
79,kʼi mane̩ ne̩ ñw abo ku ma gugu ef e̩chubi kpai ef ebo uku;
80,"Oñ o̩ma le̩ nagba waa, i chane̩ enukpahiu ef afu-wñ; i la do̩mo̩ ef aje̩tachi le̩ gbogbowa adiko ku ma dʼu ña abo Israe̩l."
