Verse,Text
1,"Ef o̩do̩ e̩ke̩gwe̩lu kʼonu Taibirio̩s Sisa jʼo̩fe̩, e̩gba ku Po̩ntius Pailat chʼigo̩bina Judia, ku He̩ro̩d je̩ Te̩trark e-Galili, kʼo̩maye-wñ Filip la je̩ Te̩trark ane̩ Ituria kpai Trako̩naitis, ku Lise̩nias la je̩ Te̩trark Abilini, "
2,"owñ chʼadiko ku Anas kpai Kayafas chʼagboji amatama le̩, O̩la O̩jo̩ lewa abi Jo̩n, o̩ma Zekaraya, ma ef aje̩tachi. "
3,Tak i lewʼoj ane̩ du ki dabi Jo̩rdan jo̩ o̩wo̩ mejeji atakoya o̩la baptism e-uribeda ku ma tʼadure-ma no̩ ñwu ma; 
4,"alu ku ma ko̩ tef o̩takada o̩la Aizaya akache̩ kakini,"
5,Ma afʼo̩go̩ du du kʼi ko̩;
6,tak o̩re̩la du ali ujadu O̩jo̩.
7,"Todule̩ i ka ñw o̩wo̩ amone̩ ku ma ledufu kʼi che ma baptism kakini, Ame̩ amato̩ olijo, e̩ne̩ juka ñwu me̩ ku me̩ ra bʼuwe̩do̩ ki ache ki wa te̩? "
8,"Todule̩ me̩ naro e̩ro e-ki nyo̩ bʼuribeda jo̩, me̩ ki la we echane̩ eka efu o̩la-me̩ kakini, Ata-wa kʼa ne̩ chʼEbraham; todu naka ñwu me̩ ka kʼO̩jo̩ neke du amo̩ma kwane̩ ñw Ebraham kwef okuta ki jo̩-i. "
9,"Ma la mʼo̩kanyi du tʼane̩ ugbo ili oli fa-i me̩; todule̩ oli du ki ma arʼe̩ro o̩me̩me̩le̩ n, ma jʼalo̩ wane̩ ku ma ko ro̩ rʼef una."
10,"Tak o̩wo̩ amone̩ le̩ tʼowñ ene kakini, Mak e̩wñ a che ke? "
11,"Oñ i dohi ka ñwu ma kakini, E̩ne̩ ki nʼafe̩ meji ki nadʼu ñw e̩ne̩ ki ma ne̩ n; e̩ne̩ ki nʼuje̩wñ ki ño̩ che abe̩le̩ ge̩. "
12,"Oñ amagbo̩kane̩ ño̩ lewa ku ma che ma baptism, taku ma ka ñw u kakini, Akone̩wñ, e̩wñ a ache ke? "
13,"Oñ i ka ñwu ma kakini, Me̩ ki gba tʼe-ku ma ñwate̩ ñwu me̩ le n. "
14,"Amisoja ño̩ tʼowñ ene ge̩ kakini, Awa fa, e̩wñ awa ache? Tak i ka ñwu ma kakini, Me̩ ki chʼe̩ne̩ du afuma n, me̩ ki dʼo̩la ji mʼone̩ du n; alibachi-me̩ ki bʼume̩ jo̩."
15,"Oñ abu kʼamone̩ le̩ jʼaneju e̩wñʼka kʼo̩chaka amone̩ la jo̩ akpibe o̩la Jo̩n ef e̩do̩-ma, abe̩k owñ che Kraist abe̩k i chʼowñ n, "
16,"Jo̩n dohi ka ñwu ma chaka kakini, Omi nʼomiofo ache me̩ baptism mana; ama e̩ne̩ ki nʼiñmi tʼumi le awa, e-kʼomi ma nyo̩ bʼetu iku e̩da-wñ jo̩ n; owñ le̩ ache me̩ baptism ef Afu Kiafo̩ kpai una; "
17,"o̩fe̩fe̩ kʼi nʼakwu igbogbo-wñ kʼi aje̩ ñw ajita-wñ kwo hiolo dʼef o̩wo̩-wñ, kʼi ayʼo̩ka-wñ nyef aka-wñ; i muda agwʼigbogbo-wñ jo ef una ki ma jʼalu n."
18,Todule̩ i ño̩ nʼo̩la ugbe̩do̩ omune̩ wewe ajʼuche̩nyo̩ rʼamone̩ le̩; 
19,"ama abu kʼi dʼo̩la bi He̩ro̩d, todu He̩ro̩dias, o̩ya o̩maye-wñ, kpai e̩wñ bibi du ki He̩ro̩d ki jʼo̩fʼe̩ Te̩trark le̩ che, "
20,He̩ro̩d ño̩ fʼe-kide̩ che nʼo̩gbo̩ e̩wñ ki jo̩-i du owñ chʼo̩na erenyu Jo̩n tef unyi-uga.
21,"Oñ i leatu, e̩gba ku ma fʼamone̩ le̩ chaka che baptism, ku ma laño̩ fu Jisusi che baptism kʼi la achadua, efojale mubite̩, "
22,"tak Afu Kiafo̩ gwo̩ru wa tanʼo, año̩la-wñ dab ikede, tak omuko̩la ka kwʼefojale kakini, Uwe̩ chʼO̩ma ufe̩do̩-mi; u fʼuyo̩-mi li ef uwe̩."
23,"Oñ o̩do̩ Jisus e̩gba kʼi chane̩ dabe̩ne̩ kʼogue̩gwa; amone̩ do̩ kʼi chʼo̩ma Jose̩f e-Hifai, "
24,"e-Matat, e-Lifai, e-Me̩lkai, e-Jana, e-Jose̩f, "
25,"e-Matatayas, e-Emo̩s, e-Nehum, e-E̩slai, e-Nagi, "
26,"e-Me̩at, e-Matatayas, e-Se̩me̩ai, e-Jose̩k, e-Juda, "
27,"e-Joana, e-Risa, e-Ze̩rubabe̩l, e-Salatie̩l, e-Nirai, "
28,"e-Me̩lkai, e-Adai, e-Kosam, e-Elmedam, e-E̩r, "
29,"e-Josi, e-E̩liesa, e-Jorim, e-Matat, e-Lifai, "
30,"e-Simeo̩n, e-Juda, e-Jose̩f, e-Jonan, e-E̩layakim, "
31,"e-Me̩le̩a, e-Minan, e-Matata, e-Netan, e-Defid, "
32,"e-Je̩si, e-Obe̩d, e-Boas, e-Salmon, e-Neason, "
33,"e-Aminadab, e-Ami, e-He̩zro̩n, e-Pe̩re̩s, e-Juda, "
34,"e-Jeko̩b, e-Aise̩k, e-Ebraham, e-Te̩ra, e-Neho̩r, "
35,"e-Sirug, e-Riyu, e-Pile̩g, e-Ibe̩r, e-Shila, "
36,"e-Kenan, e-Arpaksad, e-She̩m, e-Noa, e-Leme̩k, "
37,"e-Matuse̩la, e-Ino̩k, e-Jare̩d, e-Mahale̩lil, e-Kenan, "
38,"e-Ino̩s, e-Se̩t, e-Ade̩m, e-O̩jo̩."
