Verse,Text
1,"Fai, uwe̩ ki kʼo̩la-we̩ wa jo̩ udala udala,"
2,"Ama uwe̩, Be̩tle̩he̩m E̩frata,"
3,Todule̩ oñ i atʼuma no̩ gbogbo wʼe̩gba
4,"Tak owñ adago akʼije̩ ñw ujo̩-wñ je̩ ef ukpahiu Jihofa,"
5,"E-le̩ la achʼure̩do̩,"
6,"oñ ama anʼo̩kwo̩chageli fʼane̩ Asiria gwʼalache̩ rinyo̩,"
7,Tak e̩bo̩bo̩ abo Jeko̩b ajʼef
8,"Tak e̩bo̩bo̩ abo Jekob ajʼef abo uche̩ichi uche̩ichi,"
9,"Uwe̩ adʼo̩wo̩-we̩ kwane̩ tʼame̩no̩la-we̩ o̩la,"
10,"Oñ i awatu iko le̩, Jihofa aka-i,"
11,Oñ nakʼewo ewo ane̩-we̩ du da rinyo̩;
12,"U lañʼakʼe̩wñ amobochi da rinyo̩ bʼo̩wo̩-we̩ te̩,"
13,"u la akʼojibo-we̩ ku me̩ gbe̩,"
14,Tak omi achi Ashe̩rim-we̩ bʼalumeji-we̩ te̩;
15,E̩gbale̩ omi anache̩ ef uwe̩do̩ kpʼuke̩do̩fulu
