Verse,Text
1,"Oñ fai ame̩, amatama, uko̩-i chʼutodu me̩. "
2,"Ame̩ ma gbo̩ n, kʼame̩ ma adʼu tʼe̩do̩ n, kʼame̩ ki dʼojima ñw odu-mi n, Jihofa ki nʼe̩wñ du ka-i, mak u nakpʼama le̩ wa anʼume̩ oji, tak omi anama ñw e̩nyo̩ kʼu du ñwu me̩; ochochi, omi fʼama na ñw ume̩, todabu ku me̩ ma dʼu tʼe̩do̩ n. "
3,"Go, nadejurʼugbe̩ me̩, oñ nakʼechu fia nyʼume̩ eju, owñ chʼechu uje̩wñ uyo̩-me̩; taku ma ako me̩ alo manyʼu. "
4,"Oñ ame̩ ama ka kʼomi dʼuko̩-i kpuche̩rʼume̩, kʼalo-mi kʼu kpe̩ adʼugbo Lifai, Jihofa ki nʼe̩wñ du ka-i. "
5,"Alo-mi e-iñmi kpai ure̩do̩ te̩te̩dʼugbo-wñ; u la mʼuko ñw u kʼi railo; i la railo mi, e̩do̩-wñ muda kpu todu odu-mi. "
6,"Uko̩o̩la ochochi dʼef alu-wñ, ma la li uji ef uko-wñ n; owñ ño̩ lule̩ kpʼomi ef ure̩do̩ kpʼo̩kpakpa, i la ño̩ mʼabo wewe rida bʼudu efe̩ te̩. "
7,"Todu i dukpe̩ kʼuko atama ki gwo̩nyʼe̩wñ ema, kʼama ki tene uko̩-o̩la le̩ alu-wñ; todu, owñ chʼonuche̩ Jihofa ki nʼe̩wñ du. "
8,"Ame̩ muda muna bʼo̩na te̩ me̩; me̩ je̩ ñw amone̩ wewe ke̩re̩ ef uko̩-o̩la le̩; me̩ fʼalo Lifai bie̩ me̩, Jihofa ki nʼe̩wñ du ka-i. "
9,"Todule̩ omi ño̩ kʼume̩ chʼe̩wñ ide̩te̩, kpai e̩wñ achukata, eju amone̩ du, teju alu kʼame̩ ma de o̩na o̩na-mi n, kʼame̩ la nʼe̩nejuma ef uko̩-o̩la le̩."
10,"Ata-wa du chʼokate n? I chʼO̩jo̩ okate nyi wa n? E̩wñ chi kʼe̩ne̩ne̩ne̩ne̩-wa adʼo̩wo̩ tef ukpo arʼo̩kpo̩ ñw o̩maye-wñ, kʼa la fʼalo amata-wa bie̩ ta? "
11,"Juda dʼo̩wo̩ tef ukpo arʼo̩kpo̩, ma la fʼe̩wñ ihie̩ne̩ che efu Israe̩l kpai Je̩rusale̩m; todu Juda fʼefo̩ e-Jihofa kʼi afe̩do̩ le̩ daji, oñ i fʼo̩ma o̩jo̩ ononojo ne̩ chʼo̩ya. "
12,"Jihofa akʼe̩ne̩ ki adʼudo̩ kpai e̩ne̩ ki adohi da bʼunyabo Jeko̩b te̩ ñw e̩ne̩ ki ache e̩wñ-i, kpai e̩ne̩ ki adʼe̩wñ ele wa ñwu Jihofa ki nʼe̩wñ du ge̩."
13,"E̩wñ ekeji ku me̩ ño̩ che de̩ ge̩: me̩ kʼomi aku kpai aku ero̩ kpai ifi efi bʼubo̩ iche̩bo̩ Jihofa ma, todabu kʼi ma ñʼanyʼe̩wñ ku me̩ duwa le̩ eti ge̩ n, i lañʼali me̩ eju kʼi agba e̩wñ ele o̩wo̩-me̩ ge̩ n. "
14,"Me̩ muda kakini, E̩wñ chi? Todabu ki Jihofa chʼe̩nibenu agbagba-we̩ kpai o̩ya o̩jo̩ okolobia-we̩, e-kʼe̩ dʼo̩wo̩ tef ukpo arʼo̩kpo̩ ñw u le̩, abu kʼi chaka chʼachimo̩la-we̩ kpai o̩ya kʼuwe̩ kpʼowñ kpʼalo. "
15,"I la chʼokate i che n? Afu-e-iñmi la chʼebo̩bo̩ ñw owñ. E̩wñ chi ki chʼokate ta? Todabu kʼi neku ugbe̩ e-O̩jo̩. Todule̩ me̩ nafʼe̩do̩-me̩ de, e̩ne̩ du ki dʼo̩wo̩ tef ukpo arʼo̩kpo̩ ñw o̩ya o̩jo̩kolobia-wñ n. "
16,"Todu edʼo̩ya tinyo̩ chʼe̩wñ ulaka-mi, Jihofa O̩jo̩ e-Israe̩l ka-i, kpai e̩ne̩ ki kʼotogbo-wñ bʼe̩wñ afuma kʼi ache ma; todule̩ me̩ nafʼafu-me̩ de, ku me̩ we edʼo̩wo̩ tef ukpo arʼo̩kpo̩."
17,"Uko̩la-me̩ fi Jihofa hia me̩. Me̩ muda kakini, Ugbʼe̩wñ oñ agwʼo̩ uhia? Owñ chʼe-ku me̩ kakini, E̩ne̩ du ki achʼe̩bie̩ne̩ chenyo̩ eju Jihofa, i la ayo̩ ñwu ma; abe̩k e-ku me̩ kakini, Ugbo O̩jo̩ e-ajo̩ o̩kpakpa eka de̩ ke?"
