Verse,Text
1,"E̩gba kʼo̩jo̩ uñmi lale, Me̩ri Magdalini kpai Me̩ri iye Jeme̩s, kpai Salome fʼe̩wñ ki akpo ojoji ojoji la todu ku ma lewa fo̩ nyʼoku-wñ. "
2,"Odudu odudu ef o̩jo̩ ejodudu ef o̩jo̩ mebie, ma wʼugbo oji e̩gba kʼolu adufu. "
3,"Ma naka ñw o̩la-ma, kakini, E̩ne̩ ali okuta le̩ bʼalu oji te̩ ñw a? "
4,"Taku ma chʼeju nyate̩, ma go abu kʼokuta le̩ muli ubi; todu i nana tabale. "
5,"Abu ku ma gudu nyʼef oji, ma li okolobiaʼka ki gugu o̩wo̩ awo̩to̩, otogbo efufu dʼo̩la-wñ; tak e̩gahi-wñ fu ma mu. "
6,"Oñ i ka ñwu ma, kakini, Awuwu ki mu me̩ n; me̩ feju Jisus, abo Nazare̩t, ku ma du kamoli le̩; i mudajikwane̩ me̩; i dʼemi n; me̩ go, ugbo ku ma dʼu dachi de̩! "
7,"Me̩ muda nalo, ku me̩ ka ñw amako̩che̩-wñ kpai Pita kakini, I atʼume̩ o̩gba nyi Galili; o̩mo̩ ame̩ ali u, alu kʼi ka ñwu me̩. "
8,"Ma kwodufu oñ ma ra bʼoji te̩; todu o̩la-ma chane̩ ega, ibe-ma ño̩ mukpatuka ge̩; ma ka abu du ñw e̩ne̩ du n; todu ma chʼokpo tabale."
9,"E̩gba kʼi kwane̩ odudu odudu o̩jo̩ ejodudu ef o̩jo̩ mebie, i tejugede ñwu Me̩ri Magdalini ejodudu, owñ chʼe̩ne̩ kʼi fʼamebili mebie ne kwef uwñ dufu le̩. "
10,"I lenaka ñw abo ku ma jʼugbo-wñ akwoubi, abu ku ma jʼadaido̩ ku ma la araku. "
11,"Tak e̩gba ku ma gbo̩ ka kʼi deju, kʼowñ ño̩ fʼu li, ma ko̩ edo̩ rʼochochi."
12,"Tak anubi e-le̩, i kwotejugede o̩la ojoji ñw abo meji ef uma, abu ku ma alule̩ nyʼegbili. "
13,Tak abo le̩ kwʼo̩mo̩ mʼu duka ñw abo ki bo̩; ma la ke̩do̩nʼo̩la-ma ni ge̩.
14,"Ubi le̩ i tejugede ñw amame̩gwaka onugo, abu ku ma chekukane̩ ajʼuje̩wñ; oñ i du eke̩do̩no ku ma ko̩ eke̩do̩no kpai ugbiti e̩do̩-ma kicha ñwu ma, todabu ku ma ma ke̩do̩nʼo̩la abo ku ma fʼowñ li abu kʼi mudajikwane̩ n. "
15,"Tak i ka ñwu ma kakini, Me̩ lo tef ile̩ du, ku me̩ natakoya uche̩nyo̩ ñw e̩wñ du kʼO̩jo̩ nyi. "
16,"Ma ajadu e̩ne̩ ki ake̩do̩nʼo, ku ma la chʼo baptism. Ma muda akpʼe̩ne̩ ki ako̩ eke̩do̩no abi. "
17,Ujiwe ki alebʼabo ku ma ke̩do̩nʼo la jo̩-i: ma ane amebili dufu ef odu-mi; ma ako̩la alu ichi tito̩ ojoji ojoji; 
18,"ma amʼamejo̩ ko nʼo̩wo̩; i la che̩wñ ku ma ñmo̩ e̩wñ ki akpone̩, i nʼugbo du kʼi ache ma abu du n; ma akʼo̩wo̩ nʼoji ame̩no̩ga, taku ma anʼo̩lafia."
19,"Abe̩le̩ e̩gba kʼOndu Jisus ko̩la ñwu ma kpa, ma mʼowñ gba tʼefojale, oñ i kwogugu o̩wo̩ awo̩to̩ O̩jo̩. "
20,"Tak abo le̩ ledufu atakoya ugbo du, Ondu la bʼuma chuko̩lo̩, i je̩ ñw O̩la le̩ lonyane̩ lef ujiwe ki tʼo̩ ubi.]"
