Verse,Text
1,Ma lewʼudaba ohimini tʼoj ane̩ abo Gerasa. 
2,"E̩gba kʼi kwef o̩ko̩ tane̩, ababale̩ e̩ne̩ kʼi nʼafu ki ma de̩hiolo n kwʼugbo ojinoji de kpʼowñ; "
3,unyi e̩ne̩ le̩ chʼef ache̩ku; i chaka chʼigbaligba e̩ne̩ du la neke dʼu jiʼu ge̩ n: 
4,"todabu ku ma fʼu tʼagba o̩gbe̩nugbe̩, ma ño̩ dʼigbaligba jiʼi ge̩, i la fʼigbaligba jada, i la fʼagba kpo̩fo̩ ye̩ge̩ye̩ge̩, e̩ne̩ du la gbiti bo̩jo̩ kʼi afʼu dolo n. "
5,"E̩gba du, tʼodu tʼo̩ro̩ka, ef ache̩ku kpʼibe̩uwo i do̩mo̩ akwa. I nadʼokuta fʼo̩la-wñ na. "
6,"E̩gba kʼi fu Jisus li o̩najiji, i fule wa dojikane̩ ñw u, "
7,"i dʼomu dago kwa kakini, E̩wñ chʼe-mi kpʼuwe̩, Jisus, uwe̩ O̩ma O̩jo̩ Chamachala? Nago̩ O̩jo̩ nʼe̩ e̩ ki je̩ ñwu mi li uwa n. "
8,"Todu i ka ñw u kakini, Kwʼef e̩ne̩ le̩ dufu, uwe̩ afu ki ma de̩hiolo n. "
9,"Tak i tʼowñ ene, kakini, Ab odu-we̩ ko̩? I ka ñw u, kakini, Odu-mi ko̩ Lijio̩n, todukpe̩ kʼawa chewewe. "
10,Tak i gbo̩ko̩bʼo̩ nana kʼi we ekpe̩ ma kwʼoj ane̩ le̩ alo. 
11,Amoko wewe la dʼujo̩ akolo uwo o̩mo̩ ajije̩. 
12,"Oñ ma gbo̩ko̩bʼo̩ kakini, Fʼuwa kpe̩ ref amoko le̩ kʼa gudu nyʼef uma. "
13,"Tak i je̩ ñwu ma. Oñ amafu ki ma de̩hiolo n le̩ kwodufu, ma la gudu tef amoko, tak ujo̩ le̩ gwo̩ko̩ gwo̩ru o̩gba nyʼef ohimini, uwewe-ma dab o̩gba; oñ ma lenyo̩ ef ohimini."
14,"Tak abo ku ma adejute̩ ma ra, oñ ma mʼo̩la-i duka ef ewo kpai oj oko. Abo le̩ la lewa ku ma li e̩wñ ki wache. "
15,"Taku ma lewʼugbo Jisus oñ ma go abu kʼe̩nebili le̩ nyi afe̩ gugu, eju-wñ mune̩, owñ chʼe̩ne̩ kʼi ne̩ lijio̩n le̩; oñ ma kwochokpo. "
16,Tak abo ku ma liʼu choli e̩wñ du ki wache e̩nebili le̩ kpai o̩la amoko ñwu ma. 
17,Taku ma chane̩ egbo̩ko̩bʼo̩ kʼi kwʼoj ane̩-ma lo. 
18,"Oñ abu kʼi alo tef o̩ko̩, e̩ne̩ kʼi nʼebili akwoubi le̩ gbo̩ko̩bʼo̩ kʼi lebʼo̩. "
19,"I je̩ ñw u le n, ama i ka ñw u, kakini, Lo tʼunyi-we̩ ugbo abo-we̩ kʼe̩ mʼe̩wñ lile kʼOndu che ñw e̩ duka ñwu ma, kpai ejumomi-we̩ kʼi li. "
20,"Tak i le wñ, oñ i chane̩ etakoya De̩kapo̩lis alu kʼe̩wñ chenana ku Jisus che ñw u; amone̩ du kwoyaye."
21,"E̩gba ku Jisus ño̩ tʼo̩ko̩ mudaba tʼo̩wo̩ ekeji ge̩, amone̩ wewe jeju wʼugbo-wñ, owñ la dʼeti ohimini. "
22,"Tak e̩ne̩ʼka ef amagboji unyi ujeju lewa, odu-wñ ko̩ Jairo̩s; abu kʼi fʼu li, i lewane̩ e̩re̩-wñ, "
23,"oñ i gbo̩ko̩bʼo̩ nana, kakini, O̩ma-mi onobule̩ kekele ache kʼi ku; kʼe̩ lewa kʼe̩ kʼo̩wo̩-we̩ nʼo oji, todu kʼo̩ga-wñ ki takpa, kʼi deju. "
24,"Tak i lebʼo̩, amone̩ wewe wewe darʼo̩ ubi, ma muke̩che̩ abʼowñ ma."
25,"Oñ onobule̩ʼka, kʼi dʼef e̩bie̩ eru o̩do̩ me̩gweji, "
26,"kʼi la li uwa nana ugbo amobochi wewe, kʼi laño̩ mʼe̩wñ du kʼi ne̩ ko kpabie̩ kpa, kʼi ma nʼile du ñw u n, ama o̩ga-wñ nabie̩ne̩ nyo̩gba; "
27,"abu kʼi la gbo̩ inabali Jisus, i lef amone̩ ki tinyo̩ le̩ wa ubi-wñ, oñ i do̩wo̩kado afe̩-wñ. "
28,"Todu i kakini, I chaka chʼafe̩-wñ kate u dʼo̩wo̩ kado, i ajadu mi. "
29,"Ababale̩ ugbo kʼe̩bie̩-wñ abikwo le̩ gbe̩, oñ i fu ma ef año̩la-wñ kʼo̩la-wñ takpa. "
30,"Ababale̩ abu ku Jisus chema ef onugo-wñ ka kʼukpahiu le̩ kwʼef uwñ dufu me̩, i murida ef amone̩ ki tinyo̩ le̩, i kakini, E̩ne̩ do̩wo̩kado e̩wñ-o̩la-mi? "
31,"Tak amako̩che̩-wñ ka ñw u, kakini, Uwe̩ go amone̩ ki tinyo̩-i abu ku ma ke̩che̩ bʼuwe̩ ma, oñ uwe̩ kakini, E̩ne̩ do̩wo̩kado mi? "
32,Tak i rejuda koolo kʼi li e̩ne̩ kʼi che e̩wñ-i. 
33,"Onobule̩ le̩ muda railo, o̩la-wñ naga todu i chema e̩wñ kʼi chʼo, oñ i lewa fiane̩ o̩gba-wñ, i ka ochochi le̩ du ñw u. "
34,"Tak i ka ñw u kakini, O̩ma-i, e̩do̩-ekono-we̩ fʼuwe̩ jadu me̩; lo kpai ure̩do̩, ache̩ka ki chʼuwe̩ kwef o̩pe̩cha-we̩."
35,"Abu kʼi nʼo̩la aka ta, ma kwʼunyi agboji unyi ujeju le̩ wa kakini, O̩ma-we̩ onobule̩ leku me̩; e̩wñ chi kʼe̩ che Akone̩wñ akanya ta? "
36,"Jisus muda nyʼo̩la ku ma ka-i eti n, i ka ñw agboji unyi ujeju kakini, E̩ ki railo n, eke̩do̩no e̩ ke̩do̩no kate. "
37,"Oñ i je̩ ñw e̩ne̩ du lebʼo̩ n, chai Pita kpai Jeme̩s kpai Jo̩n o̩maye Jeme̩s. "
38,"Taku ma lewa unyi agboji unyi ujeju le̩; oñ i go abu ku ma jo̩ achekuku, ma raku, ma la dinaku nana. "
39,"E̩gba kʼi mugudu tʼejefu, i ka ñwu ma, kakini, E̩wñ chi ku me̩ chekuku, ku me̩ la raku-i? O̩ma-i ku n, olu i ale̩-i. "
40,"Ma dʼoke anyi rʼo̩ oji. Ama e̩gba kʼi fʼuma ne dufu chaka, i mʼata o̩ma kpai iye-wñ kpai abo ku ma jʼugbo-wñ ko, oñ i le tʼejefu ugbo kʼo̩ma le̩ de̩. "
