Verse,Text
1,"Iko le̩ amako̩che̩ te̩wʼugbo Jisus, ma kakini, Mak e̩ne̩ tule ojane̩ e-efojale? "
2,"Tak abu kʼi fʼimo̩to̩ ʼka do̩ wa, i mʼu du dago alumeji-ma, "
3,"oñ i kakini, Ami, naka ñwu me̩ kakini, Me̩ ma rida ku me̩ dab abimo̩to̩ n, i anʼugbo du ku me̩ agudu tʼojane̩ e-efojale n. "
4,"Todule̩ e̩ne̩ du kʼi ahi o̩la-wñ wane̩ dab imo̩to̩-i, e̩ne̩ le̩ chʼe̩ne̩ kʼi tule ojane̩ e-efojale."
5,"E̩ne̩ du kʼi la mʼimo̩to̩ e̩go̩-iʼka gba ef odu-mi, omi i gba le̩."
6,"E̩ne̩ du kʼi la fʼimo̩to̩ʼka ef abo ku ma ke̩do̩no mi-i dahi, i ma nyo̩ tule ñw e̩ne̩ le̩ ku ma mʼokuta unʼe̩wñ elile du lo̩koli o̩fa-wñ ku ma mʼu du ji ef ohimini ugbo kʼi nefu."
7,"Atogwo ñw ile̩ tod e̩wñ udʼone̩ hi! Todu e̩wñ udʼone̩ hi awa chuu, i muda chʼatogwo ñw e̩ne̩ kʼe̩wñ udʼone̩ hi lʼef uwñwa. "
8,"I la che̩wñ kʼo̩wo̩-we̩ abe̩k e̩re̩-we̩ fʼe̩ dahi mʼu ko̩da kʼe̩ dʼu rikpolo bʼo̩la-we̩ te̩; echʼe̩no̩lo̩ abe̩k ade̩re̩ kʼe̩ mugudu tef iñmi chʼo̩me̩me̩le̩ ñw e̩, tʼe-nʼo̩wo̩ meji abe̩k e̩re̩ meji ku ma ta dʼuwe̩ rikpolo tef una e-ogbegbele̩ le. "
9,"I la che̩wñ kʼeju-we̩ adʼe̩ hi, mʼu ne̩ tinyo̩ kʼe̩ dʼu rikpolo bʼo̩la-we̩ te̩; echʼabejuʼka kʼe̩ mugudu tef iñmi chʼo̩me̩me̩le̩ ñw e̩ tʼenʼeju meji ku ma adʼuwe̩ rikpolo tef uña ubie̩ e-una le."
10,"Nago, me̩ ki dʼe̩ne̩ʼka ef abo egini-i ro̩che̩ke̩ne̩ n; todu naka ñwu me̩ kakini, amonuche̩ e-ma jʼago eju Ata-mi e-efojale pioo. [ "
11,Todu O̩ma One̩ lewa kʼi fʼe-kʼi lenyo̩ jadu.]
12,"Ab i de̩ eju-me̩ ta? Iche̩wñ kʼe̩ne̩ʼka nʼamala ogume̩lu tak oka chila kwef uma, i atʼokeka chi ef ogume̩lu le̩ no̩ kʼi nyʼoj uwo uwo afeju e-kʼi chila le̩ n? "
13,"I la che̩wñ kʼi fʼu li fe̩de̩lii, ami, naka ñwu me̩, ka kʼi ayo̩ ñw e-le̩ tʼabo okeka chi ef ogume̩lu ku ma ma chila n le. "
14,Abe̩le̩ i la dʼAta-me̩ ki dʼefojale e̩do̩ todu kʼabo egini-iʼka kʼi lenyo̩ n.
15,"I la che̩wñ kʼo̩maye-we̩ dʼe̩ re, lo, kʼe̩ mʼu du biʼu e̩gba kʼeju-we̩ kpʼowñ kate dʼane̩. Iche̩wñ kʼi fʼomu-we̩ gbo̩, e̩ fʼo̩maye-we̩ je̩ me̩. "
16,"I la che̩wñ kʼi ma agbo̩ n, e̩ mʼone̩ʼka abe̩k one̩ meji omune̩ ko mʼo̩la, todu kʼalu ame̩nibenu meji abe̩k e̩ta ki je̩ ñw o̩la du ki dago. "
17,"I la che̩wñ kʼi ko̩ egbo̩ e-ma, e̩ ka ñw abo udo̩ ujeju. I la che̩wñ kʼi ño̩ ko̩ egbo̩ e-abo udo̩ ujeju ge̩, i ki dab abo uche̩ichi kpʼagbo̩kane̩ ñw e̩. "
18,"Ami, naka ñwu me̩, kakini, E̩wñ du ki che ku me̩ ji ane̩-ile̩-i, achʼe-kʼi chʼe̩ji efojale; oñ e̩wñ du ku me̩ tu ane̩-ile̩-i achʼe-kʼi chʼe̩tu efojale."
19,"Omune̩ de̩ ge̩, naka ñwu me̩ kakini, Iche̩wñ kʼalu one̩ meji ef ume̩ chʼoka ile̩-i ugbo e̩wñ du ki che ku me̩ bi, i amud e-ma kwugbo Ata-mi e-efojale. "
20,"Todu ugbo du kʼone̩ meji abe̩k e̩ta wa jo̩ tef odu-mi, u dʼalumeji-ma o̩mo̩."
21,"E̩gba le̩ Pita te̩wa ka ñw u kakini, Ondu, e̩re̩ onu monu oñ o̩maye-mi adʼumi re kʼu natʼo̩ no̩ ñw u? gbogbo nyʼonu mebie? "
22,"Jisus ka ñw u kakini, I che gbogbo nyʼonu mebie oñ naka ñw e̩-i n, chai gbogbo onu mebie ebie ugbo o̩gbo̩ me̩ta nyoke me̩gwa."
23,Todu ojane̩ e-efojale chebiu one̩ʼka kʼi chʼonu kʼi dʼe̩ e̩do̩ kʼi fʼo̩ko̩-wñ lo kpʼamadu-wñ. 
24,"Oñ abu kʼi chane̩ elo, ma dʼe̩ne̩ʼka-ma wʼugbo-wñ kʼi jʼo̩ o̩me̩ dab ipam e̩jika o̩gba me̩gwa. "
25,"Oñ abu kʼi ma neke ra n, odu-wñ ñwa ñwu ma ku ma mʼowñ kpʼo̩ya-wñ kpʼamo̩ma-wñ kpʼe̩wñ du kʼi ne̩ ko ta kʼo̩me̩ ki ra. "
26,"Todule̩ adu le̩ lewa abʼane̩ ma, i dʼoji kane̩ ñw u kakini, E̩ fe̩do̩je̩ kpʼomi ta, kʼu narʼo̩me̩ ñw e̩ chaka. "
27,"Oñ abu kʼejumomi adu le̩ ma je̩ ñw u n, odu-wñ tʼadu le̩ no̩ tane̩, oñ i tʼo̩ko̩ kʼi me̩ le̩ no̩ chʼe̩ ele. "
28,"Adu le̩ muda le dufu oñ i fʼe̩ne̩ʼka kʼowñ kpʼowñ chʼadu li, kʼi jʼo̩ o̩me̩ ipam me̩ta nyʼolia me̩gwa; oñ i lewa gwo̩nyʼu i kpakanyʼu o̩fa, i kakini, E̩ fʼo̩me̩ kʼe̩ je̩ mi ra! "
29,"Todule̩ e̩ne̩ kʼowñ kpʼowñ chʼadu le̩ lewa bʼane̩ ma, i gbo̩ko̩bʼo̩ kakini, E̩ fe̩do̩je̩ kpʼomi, kʼu narʼo̩me̩ ñw e̩. "
30,"I muda dʼe̩ e̩do̩ n, oñ i kwʼo̩mo̩ nyʼadʼowñ rikpolo tef unyi uga gbogbo tak i fʼo̩me̩ kʼi je̩ ra. "
31,Todule̩ abu kʼabo kʼama kpʼowñ chʼadu li e̩wñ ki wache le̩ e̩do̩-ma kpabie̩ tabale oñ ma lewa choli e̩wñ du kʼi che le̩ jane̩ ñw odu-ma. 
32,"E̩gba le̩ odu-wñ fʼu do̩ wʼugbo-wñ, oñ i ka ñw u kakini, Uwe̩ adu bibi, todu o̩ko̩ kʼe̩ gba bʼumi u tʼo̩me̩ kʼe̩ je̩ le̩ du no̩ chʼuwe̩ ele. "
33,I ño̩ dukpe̩ kʼe̩ li e̩ne̩ kʼuwe̩ kpʼowñ chʼadu le̩ ejumomi n? dabalu kʼomi li uwe̩ ejumomi n? 
34,"Oñ odu-wñ we̩do̩, i la mʼu du ñw abo ku ma adʼo̩bata ñw u, gbogbo tak i arʼo̩me̩ du kʼi je̩ ñw u. "
35,"Abe̩le̩ Ata-mi e-efojale ñʼache me̩ ge̩, iche̩wñ kʼe̩ne̩ne̩ne̩ne̩-me̩ ma to̩no̩ ñw o̩maye-wñ kpʼe̩do̩-wñ n."
