Verse,Text
1,E̩gbale̩ Afu mʼiJisus du le tef aje̩tachi kʼAbulumone̩ ki jʼo̩ ma. 
2,"Tak abu kʼi jialu o̩jo̩ o̩gbo̩ meji, kpʼodu o̩gbo̩ meji, ubi le̩ ebi kwokpʼo̩. "
3,"Tak ajone̩ma le̩ te̩ wa ka ñw u, kakini, Iche̩wñ kʼuwe̩ chʼO̩ma O̩jo̩, e̩ ka ñw okuta ki jo̩-i ki mud uje̩wñ. "
4,"I muda dohi kakini, I che̩ko̩tane̩ kakini,"
5,"E̩gbale̩ Abulumone̩ mʼowñ du le tef ewo kiafo̩ le̩, oñ i mʼu du gugu ochigene unyi O̩jo̩, "
6,"oñ i ka ñw u kakini, Iche̩wñ kʼuwe̩ chʼO̩ma O̩jo̩, mʼo̩la-we̩ du ro̩ tane̩; todu i che̩ko̩tane̩ kakini,"
7,"Jisus ka ñw u kakini, I laño̩ che̩ko̩tane̩ kakini,"
8,"Abulumone̩ le̩ ño̩ dabi mʼowñ du le tʼoj uwo kʼi gbo̩gba tabale, oñ i mʼojane̩, ojane̩ ile̩-i du du ñʼo̩, kpʼojima-wñ. "
9,"Oñ i ka ñw u kakini, Iche̩wñ kʼe̩ leane̩ adojikane̩ ñwu mi, nakʼe̩wñ-i du ñw e̩. "
10,"E̩gbale̩ Jisus ka ñw u kakini, Lo we̩, Setan! todu i che̩ko̩tane̩ kakini,"
11,"E̩gbale̩ Abulumone̩ tʼowñ no̩; me̩ la go, amonuche̩ O̩jo̩ mute̩wa ache e̩wñ ñw u."
12,"Oñ abu kʼi gbo̩ ka ku ma mʼiJo̩n du ñwu ma mu, i mudawubi tʼiGalili. "
13,"Tak i kwo Nazare̩t wa gugu Kapanahum kʼi dʼo̩lʼohimini, ojane̩ Ze̩biulo̩n kpai Naftali; "
14,"todu kʼo̩la ku ma ka lef Aizaya akache̩ kʼi che̩ kakini,"
15,"Ane̩ Ze̩biulo̩n kpʼane̩ Naftali,"
16,amone̩ du ku ma te̩te̩ gugu ef e̩chubi le̩ fʼugane̩ lile li me̩;
17,"Akwe̩gba le̩ Jisus chane̩ etakoya, i nakakini, Me̩ ribeda; todu ojane̩ e-efojale me̩ro̩wo̩ me̩."
18,"Oñ abu kʼi alule̩ etʼohimini Galili, i fʼamo̩maye meji li, Saimo̩n ku ma do̩ ko̩ iPita kpʼAnduru, o̩maye-wñ; ma jʼarʼiga ef ohimini; todu ma chʼamekwuji. "
19,"Tak i ka ñwu ma kakini, Me̩ lewa tʼumi ubi, oñ nako me̩ chʼamekwuji ku me̩ mʼamone̩. "
20,"Ababale̩ ma la tʼiga-ma no̩, ma tʼo̩ ubi. "
21,"Oñ abu kʼi kwʼo̩mo̩ alo i fʼamo̩maye meji omune̩ li, Jeme̩s e-Ze̩be̩di kpai Jo̩n o̩maye-wñ; ma jʼef o̩ko̩ kpai Ze̩be̩di ata-ma añwʼiga-ma che. I la fʼuma do̩. "
22,"Ababale̩ ma la tʼo̩ko̩ kpʼata-ma no̩, oñ ma tʼo̩ ubi."
23,"Taku Jisus fʼo̩gbo̩ ane̩ Galili du le ako̩ ma e̩wñ ef unyi ujeju-ma. I la nʼakoya Uche̩nyo̩ Ojane̩ ata, kpʼo̩ga du kpʼe̩gbo du ef amone̩ le̩ ache kpa. "
24,"Tak inabali-wñ ledufu nyʼo̩gbo̩ ane̩ Siria du, oñ ma mʼabo ku ma nʼe̩wñ e̩bie̩ne̩ o̩la ko wʼugbo-wñ, e-kʼo̩ga ojoji ojoji kpʼuwa mʼuma ne̩ gaga, kpʼabo ku ma nʼebili kpʼabo ku ma chʼajukpakpa kpʼabo̩ga ekuto̩la; oñ i fʼo̩ga-ma che. "
25,O̩wo̩ amone̩ lile la kwo Galili kpai De̩kapo̩lis kpai Je̩rusale̩m kpai Judia kpʼejudaba Jo̩rdan wa darʼo̩ ubi.
