Verse,Text
1,"Atogwo ñw ewo e̩bie̩ le̩,"
2,"Itali fʼo̩la ka, e̩re̩ o̩kogu o̩kogu nachʼekuku,"
3,"Amanya ki afule,"
4,"Todu o̩wo̩ e̩wñ abutabu e-ajo̩ko̩,"
5,"Go, omi chʼe̩nagwunyʼuwe̩,"
6,Nakʼiwa ihie̩ne̩ ro̩ bʼe̩ ma
7,"Tak abo du ku ma kejurʼe̩ ara bʼe̩ te̩, oñ ma akakini,"
8,Uwe̩ nyo̩ tu Noamo̩n
9,"Itio̩pia kpʼIjipti chʼukpahiu-wñ,"
10,"Ma muda mʼu ño̩ kwʼo̩mo̩ kpo̩,"
11,O̩te̩ ñʼamʼe̩ ge̩
12,Aku aku-we̩ du dab oli o̩gbaikolo
13,"Go, amone̩-we̩ ku ma jʼalumeji-we̩ le̩"
14,"Fʼomiofo kpa ñw o̩la-we̩ gbe̩gba ku ma kpala nyʼuwe̩,"
15,"O̩mo̩ una afʼe̩ lie̩,"
16,Uwe̩ je̩ ñw amanyaja-we̩ ku ma wewe
17,"Amagboji-we̩ dab amimiejo,"
18,"Amadide-we̩ jʼalolu oji,"
19,"Ugbo ki awʼe̩ nʼenye̩do̩ ge̩ n,"
