Verse,Text
1,O̩la Nihe̩maya o̩ma Hakalaya le̩ de̩.
2,"Hanani, o̩maye-miʼka, lewa, owñ kpai aboke̩le̩ Juda iche̩ka; tak u tʼuma ene o̩la amaJu ku ma mufu tane̩, owñ chʼame̩namu ki bo̩ le̩, kpai o̩la Je̩rusale̩m. "
3,"Taku ma ka ñwu mi kakini, Abubo̩ amone̩ ku ma bo̩ kwef amu ku ma jʼojane̩ le̩ ali o̩bata nana kpai ina; aku Je̩rusale̩m mugulo̩ wane̩, ma la fʼalaku-wñ gujo rinyo̩."
4,"Oñ i lewatu e̩gba kʼu gbʼo̩la le̩, u kwogugu ane̩ araku, tak u nʼo̩jo̩ je̩ pe̩ adaido̩; tak u fʼaluji achadua o̩gba O̩jo̩ e-efojale. "
5,"Oñ u kakini, Nagbo̩ko̩bʼuwe̩ O Jihofa, O̩jo̩ e-efojale, kʼe̩ chʼO̩jo̩ inaina kʼi abailo kʼi la ade alo kpai ufe̩de̩nyo̩ ugbo abo ku ma fe̩do̩ owñ, ku ma la de uko̩ kʼi ate̩; "
6,"nʼeti, kʼe̩ mʼeju-we̩ chi, kʼuwe̩ ki netiru adua adu-we̩-i e-kʼu nache o̩gba-we̩ odu kpai o̩ro̩ka iko-i tod amo̩ma Israe̩l, amadu-we̩, abu kʼu do̩mo̩ agbalu adure amo̩ma Israe̩l, owñ chʼe-kʼa dʼe̩ re le̩. Ochochi, omi kpai abo unyi ata-mi dʼe̩ re me̩. "
7,"A fʼakpabie̩-we̩ che nana tabale, a la de uko̩ kʼe̩ te̩ abe̩k uhio̩me̩, uhio̩me̩, abe̩k o̩la oji ajo̩ e-kʼuwe̩ ñwa ñw adu-we̩ Mose̩s le̩ n. "
8,"Nagbo̩ko̩bʼe̩ kʼe̩ nadibekado o̩la kʼe̩ ñwa ñw adu-we̩ Mose̩s le̩, kakini, Iche̩wñ kʼame̩ fʼada-mi je̩, nafʼume̩ fiatuka rʼef amone̩ ojoji ojoji; "
9,"ama me̩ mudabi wʼugbo mi ku me̩ fʼuko̩ uko̩-mi de ku me̩ che, dagba i nʼabo̩ iche̩ka ef ume̩ ku ma ko̩ rikpolo jʼukpoji efojale otitala, naya ma kwʼo̩mo̩ wa jo̩ tak u nako ma wa jʼuña kʼu du kʼu dʼodu-mi tʼo̩mo̩. "
10,Abo-i la chʼamadu-we̩ kpai amone̩-we̩ e-kʼuwe̩ nʼukpahiu-we̩ inaina kpai o̩wo̩-we̩ ki gbiti gba ma tane̩. 
11,"O Ondu, nagbo̩ko̩bʼe̩, nʼeti-we̩ rʼadua adu-we̩-i, kpʼadua amadu-we̩ ku ma yo̩ ñw ailo odu-we̩ era; nagbo̩ko̩bʼe̩ kʼe̩ je̩ ñw u ra ñw adu-we̩ eñini-i, kʼe̩ la je̩ ñw e̩ne̩-i liʼowñ ejumomi."
