Verse,Text
1,O̩jo̩ le̩ ma fʼo̩kalatu ef o̩takada Mose̩s che kʼamone̩ ki gbo̩; oñ ma fuli abu ma korubutu o̩mo̩ ka kʼi dʼugbo kʼe̩ne̩ Amo̩n kpai e̩ne̩ Moab ki gudu wʼef ujeju O̩jo̩ ogbegbele̩ n; 
2,"todabu ku ma ma kʼuje̩wñ kpai omi wa ledo amo̩ma Israe̩l n, mu muda chʼo̩gu ñwu Belam tʼuma o̩la, kʼi nʼama ñwu ma; O̩jo̩-wa muda fʼama le̩ rida e̩nyo̩. "
3,Oñ i lewatu e̩gba ku ma gbo̩ o̩la o̩da le̩ ma fʼo̩wo̩ amone̩ ku ma chʼe̩kpe̩gwa nyʼomune̩ le̩ chaka daru bʼabo Israe̩l te̩.
4,"E̩gba ku ma ma chʼe-le̩ ta n, Eliashib atama, ku ma dʼo̩da ako̩da unyi e unyi O̩jo̩-wa ñw u, abu kʼi chʼefu Tobaya, "
5,"i fʼef unyi lile le̩ʼka ñwo̩che ñw u, owñ chʼef unyi ugbo ku ma te̩te̩ ko e̩wñ ele, kpai frankinse̩ns kpai e̩wñ eku kpai ukpe̩ e̩ke̩gwa e̩wñ e̩yo̩ kpai e-omi achiwebe̩te̩ma etito̩ kpai e-ekpo̩ jo̩, owñ chʼe-ku ma fʼuko̩-wñ te̩ ñwu ma ku ma kowa tod abo Lifai kpai amakeli kpai amadalo̩na; manyʼe̩wñ eko ne ate̩ tod amatama ge̩. "
6,"Ama ef e-le̩ du, omi de̩ Je̩rusale̩m in; todu e̩gba kʼArtaze̩rksis onu Babilo̩n fʼo̩fe̩ je̩ o̩do̩ ogue̩gwa nyoke meji, omi nyʼugbo onu; tak abu kʼu nʼo̩jo̩ je̩ pe̩ u bi onu kʼi bʼiko ñwu mi "
7,"tak u lewa Je̩rusale̩m oñ u fʼe̩bie̩ne̩ kʼEliashib che todu Tobaya ma, owñ che̩ko̩da unyi kʼi ñwo̩che ñw u ef ologbo unyi O̩jo̩ le̩. "
8,I la bie̩ne̩ eju-mi tabale; todule̩ u kʼane̩ Tobaya le̩ rikpolo kwef e̩ko̩da unyi le̩ dufu. 
9,"Tak u ñwa ñwu ma, oñ ma fʼef e̩ko̩da unyi unyi le̩ gworinyo̩; tak u mʼe̩wñ eku unyi O̩jo̩ le̩ ko dabiwa jʼo̩mo̩, manyu e̩wñ ele kpai frankinse̩ns ge̩."
10,"Tak u li ka kʼama te̩takʼukpe̩ abo Lifai ñwu ma n; todabe̩le̩ abo Lifai kpai amakeli ku ma chʼuko̩lo̩ le̩, e̩ne̩ne̩ne̩ne̩-ma ra tʼoj oko-wñ. "
11,"Tak u ko bʼamachimo̩la igo̩bina, oñ u kakini, E̩wñ chi ku ma hi unyi O̩jo̩ tinyo̩? Tak u ko ma wa jo̩, oñ u ko ma jʼe̩gu-ma. "
12,Tak abo Juda chaka kʼukpe̩-re̩gwa e̩wñ e̩yo̩ kpai omi achiwebe̩te̩ma etito̩ kpai ekpo wa ef o̩pata.
13,"Tak u chi amadigede ku ma nʼo̩da o̩pata o̩pata le̩, ama che Shele̩maya kʼi chʼatama kpai Zedo̩k ako̩takada kpai Pe̩daya kʼi chʼabo Lifai, e̩ne̩ ki rone̩ ma la che Hanan o̩ma Zakur, o̩ma Mata-naya; todu ma fʼabo le̩ lo rʼabo ku ma chubi one̩, uko̩lo̩-ma la chʼe̩wñ ekpe̩ ñwamo̩maye-ma. "
14,"O O̩jo̩-mi, e̩ na-dibekado mi todu e̩wñ-i, e̩ ki la fʼe̩wñ e̩nyo̩ kʼu che tod unyi O̩jo̩-mi, kpai alu kʼu che ku ma dejutʼo̩, kpalu n."
15,"Iko le̩ u fʼaboke̩le̩ Juda iche̩ka li abu ku ma jʼate̩ achiwebe̩te̩ma ef agu-o̩ko̩lo̩ o̩jo̩ uñmi, ma la kʼoti oti e̩wñ e̩yo̩ wʼunyi, ma la kʼadu nʼubi o̩ke̩ke̩te̩-ma ge̩; ma la ño̩ che abe̩le̩ kpai omi achiwebe̩te̩ma kpai e̩ro achiwebe̩te̩ma onugo kpai e̩ro o̩gbaikolo̩ kpai adu ojoji ojoji du, oñ ma kʼe-le̩ wʼefu Je̩rusale̩m o̩jo̩ uñmi; oñ u gbʼibenu rʼuma oji o̩jo̩ ku ma nʼuje̩wñ wa ata. "
16,"Aboke̩le̩ Taya ño̩ dodo jʼo̩mo̩, ku ma la kʼe̩ja, kpai e̩wñ aja ojoji ojoji chaka wa, oñ ma kʼo̩ ta ñw amo̩ma Juda la o̩jo̩ uñmi kpai efu Je̩rusale̩m ge̩. "
17,"Tak u kobʼabo ojima Juda, oñ u ka ñwu ma kakini, E̩bie̩ne̩ e̩wñ me̩ che-i ku me̩fʼo̩jo̩ uñmi bie̩? "
18,Ichʼabu kʼamata-me̩ che le̩ de̩ n? O̩jo̩-wa la kʼe̩wñ e̩bie̩ne̩-i du bʼawa kpʼewo-i oji ma n? Me̩ la kʼuwe̩do̩ omune̩ wa abʼ Israe̩l oji ma lugbo o̩jo̩ uñmi ku me̩ jʼabie̩ ta.
19,"Oñ i lewatu e̩gba kʼane̩ chane̩ erefu ugbo alaku Je̩rusale̩m kʼo̩jo̩ uñmi bo̩ o̩na, u ka ñwu ma ku ma fʼo̩na re, u ño̩ ka ñwu ma ku ma we ebi gbogbo tak o̩jo̩-uñmi ki lale. U ño̩ kʼabokolobia-mi iche̩ka gugu alaku alaku kʼone̩ ki we enʼadu gudu lʼo̩mo̩ wa o̩jo̩-uñmi. "
20,"Abe̩le̩ amachinyama kpai abo ku ma ta e̩wñ aja ojoji ojoji du rujo̩ ejo̩do̩-da Je̩rusale̩m onuʼka, abe̩k onu meji. "
21,"Tak u fʼibenu gba nyʼuma, oñ u ka ñwu ma kakini, E̩wñ chi ku me̩ ru jʼo̩la o̩do̩-i? Me̩ fʼabe̩le̩ che e̩do̩mune̩ na gwo̩nyu me̩. Akwihi le̩ ma ño̩ wa o̩jo̩-uñmi ge̩ n. "
22,"Tak u ka ñw abo Lifai kʼama ki fʼo̩la-ma gwo̩rinyo̩, kʼama ki lewa de alaku alaku le̩, ku ma je̩ ñw o̩jo̩-uñmi ki fo̩. O O̩jo̩-mi, e̩ ki ño̩ dibekadʼele̩ ñwu mi ge̩, kʼe̩ chʼeju e̩ye̩ge̩ ñwu mi teju alu kʼunana ufe̩de̩-nyo̩-we̩ de̩."
23,Iko le̩ u ño̩ fʼamaJu ku ma nʼabobule̩ Ashdo̩d kpai Amo̩n kpai Moab chʼo̩ya li; 
24,"ukpe̩reji amo̩ma-ma la kʼichi Ashdo̩d, ma la neke kʼichi amaju n, chai alu kʼichi e̩ne̩ne̩ne̩ne̩ de̩. "
25,"Tak u kobʼuma, u la bʼuma ina, u la fʼabo-ma ki bo̩ gwo, oñ u gu uma iloji du, u la je̩ ñwu ma fʼO̩jo̩ go̩, kakini, Ame̩ ñʼakʼamo̩ma-me̩ onobule̩ ñw amo̩ma-ma e̩ne̩ke̩le̩ n, me̩ la agbʼamo̩ma-ma onobule̩ ñw amo̩ma-me̩ e̩ne̩ke̩le̩ n, me̩ la agba ñw o̩la-me̩ n. "
26,"So̩lo̩mo̩n onu Israe̩l dure lugbo e̩wñ-i n? I muda nʼonu du ef abo uche̩ichi wewe kʼi dab owñ n, O̩jo̩-wñ fe̩do̩-wñ, oñ O̩jo̩ je̩ ñw u jʼonu abo Israe̩l du: ichaka dʼabe̩le̩ abobule̩ ononojo le̩ je̩ ñw owñ onugo dure. "
27,"Awa ñʼanetirʼe-me̩ kʼa fʼe̩bie̩ne̩ inaina-i du che, kʼa nʼabobule̩ ononojo chʼo̩ya kʼa fʼada O̩jo̩-wa je̩?"
28,"O̩ma Joyadaʼka kʼi chʼo̩ma Eliashib agboji amatama le̩, nʼo̩ma Sanbalat e̩ne̩ Horon le̩ chʼo̩ya; todule̩ u fʼu ne bʼo̩la-mi te̩. "
29,"O O̩jo̩-mi, e̩ nadibekado ma, todabu ku ma fʼuko̩lo̩ atama le̩ daji, ma la fʼalo amatama kpai e-abo Lifai bie̩."
30,"Abe̩le u fʼama gwe̩ hiolo bʼe̩wñ ononojo du te̩, oñ u fʼe̩wñ ide-ma kpe̩ru ñw amatama kpai abo Lifai, e̩ne̩ne̩ne̩ne̩ nʼuko̩lo̩ e-wñ; "
31,"kpai tod iji eko wa, iko iko ki chʼe̩date̩, kpai todu e̩wñ ejo̩ga. O O̩jo̩-mi, e̩ nadibekado e̩nyo̩ ñwu mi."
