Verse,Text
1,Ane̩ kʼO̩badaya go de̩.
2,"Go, omi ache kʼe̩ nya ef abo uche̩i-chi,"
3,Eke ki dʼef e̩do̩-we̩ mʼe̩ du le.
4,"Dagba e̩ ate̩gu tʼatate̩ dabe̩ne̩ kʼo̩te̩,"
5,"Iche̩wñ kʼamoji wʼugbo-we̩,"
6,"Go abu ku ma tejane̩ e̩wñ Iso̩,"
7,"Abo du kʼuwe̩ kpʼama jʼalu,"
8,"Jihofa kakini,"
9,"Tak e̩do̩ amagbiti-we̩ adakpu, O Teman,"
10,"Tod e̩wñ afuma kʼe̩ che o̩maye-we̩ Je̩ko̩b,"
11,"O̩jo̩ kʼe̩ dago ej udaba le̩,"
12,I ma dukpe̩ kʼe̩ dago ago ofoo̩jo̩ o̩maye-we̩ o̩jo̩
13,I ma dukpe̩ kʼe̩ mugudu lʼalaku abo-mi iko uchobi-ma;
14,I ma dukpe̩ kʼe̩ dago ugwe̩ta o̩na
15,Todu o̩jo̩ e-Jihofa me̩ me̩ kʼi abʼabo uche̩ichi uche̩ichi du ma.
16,"Todu alu kʼe̩ fʼe̩wñ ñmo̩ oj uwo-mi kiafo̩-i,"
17,"Ama abo ku ma fʼo̩wo̩ tane̩ ajʼoj uwo Zayo̩n,"
18,"Oñ abo unyi Jeko̩b achʼuna,"
19,"Tak abo o̩wo̩ o̩pata o̩gane̩ ane̩ uwo Iso̩,"
20,Oñ ame̩namu ef o̩wo̩ amo̩ma Israe̩l-i
21,Amajadu amute̩gu wʼoj uwo Zayo̩n
