Verse,Text
1,"Ubi e̩wñ-i u gbo̩ dabe̩ne̩ kʼomuko̩la o̩wo̩ amone̩ lile dʼef efojale aka nana kakini,"
2,todabu kʼajo̩-wñ kʼi aka chʼochochi i ño̩ chʼo̩kpakpa;
3,"Taku ma ka onu ekeji kakini,"
4,"Tak abogijo ogu nyoke me̩le̩ kpʼame̩wñiñmi me̩le̩ le̩ lewane̩ adojikane̩ ñw O̩jo̩ ki gugu oj ede le̩ kakini,"
5,"Tak omuko̩la kwef ede le̩ dufu kakini,"
6,"Tak u gbo̩ dabe̩ne̩ kʼomuko̩la o̩wo̩-amone̩ lile, kpai dabe̩ne̩ kʼomuko̩la omi ki wewe, kpai dabe̩ne̩ kʼomuko̩la akpabana ki gboka aka kakini,"
7,"A ki nayo̩, a ki nagwoguyo̩ a ki namʼojima du ñw u:"
8,"Oñ ma du ñw u kʼi nʼukpo line̩n ki nyo̩ ki afane̩, kʼi de̩hiolo bʼo̩la ma:"
9,"Tak i ka ñw mi kakini, Ko̩ kakini, Abo ku ma do̩ wʼugbo uje̩wñ O̩mala le̩ gbede. Tak i ka ñw mi kakini, o̩lO̩jo̩ e-ochochi de̩-i. "
10,"Tak u lewane̩ o̩gba e̩re̩-wñ kʼu dojikane̩ ñw u. Tak i ka ñw mi kakini, Nago e̩ ki che n: omi chʼe̩ne̩ kʼomi kpʼuwe̩ kpʼamo̩maye-we̩ ku ma nʼo̩la ibenu Jisus chʼadu, e̩ ki dojikane̩ ñw O̩jo̩. Todu afu ache̩ ku ma ka le̩ chʼo̩la ibenu e-Jisus."
11,"Tak u li abu ku ma mʼefojale chite̩, e̩ la go, anya efufu kpʼe̩ne̩ ki gugu oji-wñ, e-ku ma do̩ kʼE̩nuke̩do̩no ogbolo kpʼE̩nochochi; oñ ajo̩-wñ kʼi aka kpʼogu kʼi aja chʼo̩kpakpa. "
12,"Eju-wñ la chʼo̩go̩ una, ukata onu wewe la jʼoji-wñ; i chenʼodu ku ma ko̩ e-kʼe̩ne̩ du ma ma n chai owñ o̩to̩to̩la-wñ. "
13,Otogbo ku ma nyi ef e̩bie̩ dʼo̩la-wñ; ma la dʼodu-wñ ko̩ o̩lO̩jo̩. 
14,"Oñ amiso̩ja ku ma jʼefojale tanʼoj anya efufu rʼo̩ ubi, ukpo line̩n efufu ki de̩hiolo bʼo̩la-ma ma. "
15,"O̩kwo̩chageli ki ale̩ eju meji la nadufu kwef alu-wñ, todu kʼi nʼe-le̩ gwo abo uche̩ichi da: oñ i anʼo̩kpa ebije adide ma. Owñ la ate̩ ef aguo̩ko̩lo̩ omi achiwebe̩te̩ma e-e̩do̩fulu e-uwe̩do̩ O̩jo̩ Odobao̩gagu. "
16,"Oñ i chenʼodu ki che̩ko̩ o̩lʼotogbo-wñ kpʼoj uta-wñ kakini, Onu amonu, kpai Ondu amodu."
17,"Tak u li onuche̩ʼka kʼi dago ef olu; oñ i nʼomuko̩la lile kwa aka ñw ame̩we̩ du ku ma awu alumeji ojale-i, kakini, Me̩ lewa, me̩ kʼo̩la-me̩ wa jʼugbo uje̩wñ lile e-O̩jo̩-i, "
18,"todu kʼame̩ ki je̩ o̩re̩la amonu kpʼo̩re̩la amonu ogu, kpʼo̩re̩la amagbiti kpʼo̩re̩la amanya, kpʼabo ku ma tanʼoji-ma, kpʼo̩re̩la e̩ne̩ du, tʼe-o̩mone̩, tʼe-ki chʼadu, tʼekekele, tʼe-lile. "
19,"Tak u li e̩la le̩ kpʼamonu ane̩-ile̩ kpʼamisoja-ma, abu ku ma wajo̩ ku ma kogu bʼe̩ne̩ kʼi gugu oj anya le̩ kpʼamisoja-wñ. "
20,"Taku ma fʼe̩la le̩ mu kpʼakache̩ olemi manyʼu, owñ chʼe-ki che ujiwe eju-wñ le̩, e-kʼi ne̩ ko abo ku ma mʼina e̩la le̩ gba la, kpʼabo ku ma dojikane̩ ñw ojibo-wñ, oñ ma kʼudeju abo le̩ meji rikpolo tef odudu e-una ki nʼitolu ajo le̩. "
21,Taku ma nʼo̩kwo̩chageli ki adufu kwef alu e̩ne̩ ki gugu oj anya le̩ fʼabo ki bo̩ kpa. Efu ame̩we̩ chaka la ko̩ ñw o̩re̩la-ma.
