Verse,Text
1,"E̩ la go, ubi e̩wñ-i u li o̩na efojale ku ma mubite̩, oñ omuko̩la ejodudu kʼu gbo̩ dabe̩ne̩ kʼo̩kakachi ako̩la kpʼomi, kakini, Mute̩gu wʼemi, oñ nakʼe̩wñ ki awache ubi e̩wñ-i tila ñʼuwe̩. "
2,"Ababale̩ u wate̩ ef Afu: e̩ la go, edeʼka dago efojale, e̩ne̩ʼka la gugu oj ede le̩, "
3,"e̩ne̩ ki gugu le̩ la dab okuta jasper kpai sardius eju: oñ o̩ba lʼede le̩ daka, e̩ go, i dab e̩me̩rald. "
4,"Oñ ede ogu nyoke me̩le̩ jo̩ lʼede le̩ daka, abogijo ogu nyoke me̩le̩ la gugu oj ede le̩, otogbo efufu bʼo̩la-ma ma; oñ ulo-ko ajamalia chʼugugu ike̩be̩jʼoji-ma. "
5,"Oñ o̩mamanya kpʼomuko̩la kpʼakpabana nadufu kwef ede le̩. Agege una mebie jʼo̩gba ede le̩ ajo, ama le̩ chʼamAfu mebie e-O̩jo̩; "
6,"tak o̩gba ede le̩ dabe̩ne̩ kʼohimini e-egigo, i dabu kristal."
7,"E̩wñ iñmi ejodudu la dab idu, e̩wñ iñmi ekeji dab o̩mʼokuno̩, eju e̩wñ iñmi e̩ke̩ta le̩ la dabe̩ne̩ kʼe-one̩, e̩wñ iñmi e̩ke̩le̩ la dab o̩re̩ ki awu. "
8,"Oñ ame̩wñ iñmi me̩le̩ le̩ e̩ne̩ne̩ne̩ne̩-ma nʼika me̩fa e̩fa, elʼuma año̩la daka kpʼejefu-ma che̩ko̩ ñw eju: ma la nʼuñmi o̩ro̩ka kpʼodu n, ma jʼakakini,"
9,"E̩gba du kʼame̩wñ iñmi le adʼojima kpʼubumo̩ kpʼugwa ñw e̩ne̩ ki gugu oj ede le̩ kʼi laño̩ chʼe̩ne̩ ki adeju ogbegbele̩ nyile̩wa, "
10,"tak abogijo ogu nyoke me̩le̩ le̩ awane̩ o̩gba e̩ne̩ ki gugu oj ede le̩ oñ ma adojikane̩ ñw e̩ne̩ ki adeju ogbegbele̩ nyile̩wa le̩, ma la akʼuloko-ma rikpolo jʼo̩gba ede le̩, ma akakini,"
11,"Ondu-wa kpʼO̩jo̩-wa, uwe̩ nyo̩ bo̩jo̩"
