Verse,Text
1,"Fai, O Israe̩l, me̩ netirʼo̩la uhio̩me̩ kpai oji ajo̩ kʼu nako̩ me̩-i, ku me̩ che; todu kʼame̩ ki deju, ku me̩ nyʼo̩mo̩ agba ane̩ ki Jihofa, O̩jo̩ amata-me̩, adu ñwu me̩. "
2,"Ame̩ ki butʼo̩la kʼu ñwa ñwu me̩-i n, me̩ ki la bu wane̩ n; kʼame̩ ki de uko̩ Jihofa O̩jo̩-me̩ e-kʼu nañwa ñwu me̩. "
3,Eju-me̩ li e̩wñ ki Jihofa che ugbo o̩la Beal-peo̩r le̩; todu Jihofa O̩jo̩-we̩ fʼaboke̩le̩ du ku ma tu Beal-peo̩r ubi chile̩che̩ rinyo̩ bʼalumeji-me̩ te̩; 
4,"ame̩ ku me̩ muda yamo̩ Jihofa, O̩jo̩-me̩, okoke me̩ du deju tʼeñini. "
5,"Go, omi fʼo̩la uhio̩me̩ kpai oji ajo̩ ko̩ me̩ alu ki Jihofa O̩jo̩-mi ñwa ñwu mi kʼame̩ ki chʼabe̩le̩ oj ane̩ ugbo kʼame̩ anyi ku me̩ ne̩-i. "
6,"Todule̩ me̩ ki de ku me̩ che tʼeju-wñ; todu e-le̩ achʼibe-me̩ kpai oji o̩la ku me̩ ma eju amone̩, ku ma gbo̩ o̩la uhio̩me̩-i du ku ma akakini, Ochochi abo uche̩ichi inaina-i chʼamone̩ ki nʼibe ku ma la mʼoji o̩la gbe̩. "
7,"Todu ugbo abo uche̩ichi amone̩ lileʼka de̩, ku ma nʼO̩jo̩ ki me̩ru ma, alu ki Jihofa O̩jo̩-we̩ de̩ e̩gba du kʼa kwadʼo̩? "
8,Oñ ugbo abo uche̩ichi lile kʼi nʼo̩la uhio̩me̩ kpai oji ajo̩ alu kʼuko̩-o̩la-i kʼu nadu te̩ ñwu me̩ eñini-i de̩ taa?
9,"E-i kate, e̩ ki fʼo̩la-we̩ de, kʼe̩ la che̩do̩chacha kʼe̩ fʼonugo-we̩ de, tode̩gba kʼe̩ gbenyo̩ e̩wñ kʼeju-we̩ li, tode̩gba ki akwo bʼef e̩do̩-we̩ te̩ o̩jo̩ udeju-we̩ okate; uwe̩ ki la je̩ ñw amo̩ma-we̩ kpai amo̩ma amo̩ma-we̩ fʼu ma. "
10,"O̩jo̩ kʼe̩ dago o̩gba Jihofa O̩jo̩-we̩ Ho̩re̩b le̩, e̩gba ku Jihofa ka ñwu mi kakini, Fʼamone̩ le̩ do̩ jeju ñwu mi, kʼu naje̩ ñwu ma gbo̩ o̩la-mi, kʼama ki ko̩che̩ erailo mi o̩jo̩ du ku ma deju ile̩-i, kʼama ki ño̩ ko̩ amo̩ma-ma abe̩le̩ ge̩. "
11,"Tak ame̩ te̩wa dago e̩re̩ uwo le̩, oñ una najo uwo le̩ gbogbo tʼo̩ge̩ge̩de̩ efojale, kʼe̩chubi kpai akpa kpai e̩chubi gbe̩m du te̩. "
12,"Taki Jihofa ko̩la ñwu me̩ kwef alumeji una le̩; ame̩ gbo̩ omu uko̩la, me̩ muda li alu kʼi de̩ n; chai omuko̩la kate do̩mo̩. "
13,"Tak I dʼo̩la alo-wñ kʼi kpe̩ kajane̩ ñwu me̩, owñ chʼe-kʼi ñwa ñwu me̩ ku me̩ che, owñ chʼo̩la me̩gwa le̩; oñ i fʼu ko̩ nyʼalo okuta meji. "
14,"Taki Jihofa ñwa ñwu mi iko le̩ kʼu ko̩ me̩ o̩la uhio̩me̩ kpai oji ajo̩, kʼame̩ ki che teju-wñ oj ane̩ ugbo ku me̩ adaba nyi ku me̩ ne̩ le̩."
15,"Todule̩ me̩ nafʼo̩la-me̩ de nyo̩nyo̩. Todu me̩ li alu kʼi de̩ eju o̩jo̩ ki Jihofa ko̩la ñwu me̩ Ho̩re̩b kwef alumeji una le̩ re n, "
16,"nago, tode̩gba ku me̩ kpa o̩la-me̩ bie̩, ku me̩ chane̩ eda ojibo ki biu e̩wñʼka, dagba i biu o̩ko̩ abe̩k o̩ya, "
17,"dagba i biu e̩la abe̩re̩me̩le̩ kʼa dʼile̩ʼka, dagba i biu e̩we̩ʼka kʼi nʼika kʼi awu ojale, "
18,"dagba i biu e̩wñ kʼi afa ane̩pe̩te̩ʼka, dagba i biu e̩ja kʼi dʼef omi o̩gane̩ ile̩-iʼka; "
19,"tode̩gba kʼuwe̩ achi eju-we̩ nyʼojale kʼe̩ fʼolu abe̩k ochu abe̩k awo awo li, owñ chʼe̩wñ uwewe ojale le̩, ku ma fʼuwe̩ fa ubi kʼe̩ dojikane̩ ñwu ma, kʼe̩ re̩ e̩wñ ki Jihofa O̩jo̩-we̩ kpe̩ ñw amone̩ du kʼi dʼo̩gane̩ ojale-i. "
20,"Ama Jihofa mʼume̩ ko, oñ i ko me̩ kwef aido ebije le̩ dufu, owñ chʼakwʼIjipti, kʼame̩ ki chʼamone̩ ki chʼe̩wñ ogu kʼi aje̩, alu ki de̩ eñini-i. "
21,"Anubile̩ ge̩, Jihofa we̩do̩rʼumi todu me̩, oñ i fu go̩ ka kʼomi adaba Jo̩rdan in, kʼomi ma anyi oj ane̩ ki nyo̩ e-ki Jihofa O̩jo̩-we̩ adu ñw e̩ kʼe̩ je̩ le̩ n. "
22,"Eku naku oj ane̩-i, nadaba Jo̩rdan in; ame̩ muda adaba, me̩ la agbʼane̩ ki nyo̩ le̩. "
23,"Me̩ fʼo̩la-me̩ de, tode̩gba ku me̩ gbenyo̩ alo Jihofa, O̩jo̩-me̩, owñ chʼe-kʼi kpe̩ kpai ame̩ taku me̩ fʼojibo bo̩ ki dab e̩wñʼka ki Jihofa, O̩jo̩-we̩, funaba ñw e̩ le̩. "
24,"Todu Jihofa, O̩jo̩-we̩, chʼuna kʼi afʼe̩wñ lie̩, O̩jo̩ ajogu i che."
25,"E̩gba kʼuwe̩ abi amo̩ma, kpai amaaju, kʼame̩ la kpo̩kpe̩ oj ane̩ le̩, ku me̩ kpa o̩la-me̩ bie̩ ku me̩ la da ojibo kʼi biu e̩wñʼka, kʼame̩ la fʼe̩wñ e̩bie̩ne̩ che eju Jihofa, O̩jo̩-we̩, kʼe̩ nyʼu uwe̩do̩; "
26,"nado̩ efojale kpai ile̩-i ku ma gba ibenu nyʼume̩ eñini-i, ka kʼelenyo̩ ame̩ alenyo̩ bʼane̩ le̩ te̩ hioko faifai, owñ chʼugbo ku me̩ adaba Jo̩rdan anyi kʼame̩ ki ne̩ le̩; ame̩ akwojolugbo o̩mo̩ n, me̩ muda achile̩che̩ rinyo̩ hioko. "
27,"Jihofa la akpa me̩ tuka rʼef amone̩ amone̩, tak ame̩ abo rere ef abo uche̩ichi uche̩ichi ugbo ki Jihofa ane̩ me̩ nyi. "
28,"O̩mo̩ me̩ la are̩ amo̩jo̩ oli kpai okuta kʼo̩wo̩ one̩ che, e-kʼi ma la gane̩ n, i la gbʼo̩la n, i la aje̩ e̩wñ n, i la gbulu n. "
29,"Me̩ muda ajʼo̩mo̩ atejane̩ Jihofa, O̩jo̩-we̩, tak uwe̩ ali owñ, owñ chʼe̩gba kʼe̩ nʼe̩do̩-we̩ chaka kpai onugo-we̩ chaka tejane̩-wñ. "
30,"E̩gba kʼuwe̩ dʼef o̩pe̩cha-we̩, kʼe̩wñ-i du lewa bʼuwe̩ ma, e̩gba o̩jo̩ otitala, uwe̩ adabi wʼugbo Jihofa O̩jo̩-we̩, kʼe̩ la anetiru omuko̩la-wñ, "
31,"todu Jihofa, O̩jo̩-we̩, chʼO̩jo̩ kʼi ali ejumomi one̩; i adeyakpʼuwe̩ n, i la akpʼuwe̩ bie̩ rinyo̩ n, i agbenyo̩ alo kʼi go̩ ñw amata-we̩ le̩ n."
32,"Todu e̩ natene o̩la o̩jo̩ ki lale fai ta, e-ki do̩mo̩ o̩gba taku ma bi we̩, akwe̩gba kʼO̩jo̩ nyi one̩ ile̩-i, e̩ natene kwo ukpoji ojaleʼka gbogbo tʼukpoji-wñ ekeji, e̩wñ inaina e̩go̩-i do̩mo̩ mama me̩? abe̩ku ma gbʼinabali e̩wñʼka kʼi dab owñ? "
33,"One̩ gbo̩ omuko̩la O̩jo̩ kʼi dʼalumeji una ako̩la, alu kʼuwe̩ gbo̩ le̩, kʼe̩ne̩ le̩ deju ta? "
