Verse,Text
1,"Po̩l, adu O̩jo̩ kʼi ño̩ chʼe̩nukpuche̩ Jisus Kraist, lʼo̩na e̩do̩-ekono e-abo kʼO̩jo̩ chi ma tane̩ kpai ochochi le̩ ema ogbolo lʼo̩na ekpe̩do̩rʼO̩jo̩, "
2,"noj ukibeno e-iñmi ogbegbele̩, e-kʼO̩jo̩, ki ma neke remi n, kʼo̩la-wñ tane̩ o̩gba taku ma chane̩ ekaluka o̩kpanachi o̩kpanachi; "
3,"i la dʼO̩la-wñ tejugede iko e-wñ ef o̩la-akoya e-ku ma ke̩do̩nʼomi ku ma du nyʼumi o̩wo̩ teju alu kʼO̩jo̩, E̩najadu-wa, ñwa te̩."
4,"Tugbo Taito̩s, o̩ma-mi ogbolo lʼo̩na e̩do̩-ekono kʼa tuta ef uwñ-i:"
5,"Todu kʼu tʼuwe̩ no̩ Krit le̩ de̩, owñ chʼutodu kʼe̩ fe̩wñ ki bo̩ te̩ru, kʼe̩ la kʼabogijo dago jo̩ ewo ewo du alu kʼomi ñwa ñw e̩. "
6,"Iche̩wñ kʼe̩ne̩ du do̩mo̩ ki ma nʼugbo ku ma adʼalu kadʼo n, kʼi chʼe̩ne̩ke̩le̩ ki nʼonobule̩ oka, kʼi chenʼamo̩ma ku ma chʼame̩nuke̩do̩no, ki ma nʼugbo kʼamone̩ akʼalu nyʼuma ka ku ma chʼame̩nofubo̩ n, abe̩kʼame̩nugbolu n. "
7,"Todu i dukpe̩ kʼadejute̩ ki chʼe̩ne̩ ku ma ma dʼalu kadʼo n, alu kʼadigede O̩jo̩ ade̩ tila, i achʼe̩ne̩do̩ kpako n, i achʼe̩ne̩do̩fulu n, i achʼalu o̩te̩ n, i afʼo̩ko̩ uja n, i ajakpa ile eje̩ ofo n, "
8,"i muda ache̩do̩ ononojo, i ache̩do̩ e̩wñ e̩nyo̩, ibe-wñ achewane̩, i achʼe̩no̩kpakpa, e̩do̩-wñ ade̩ jalii, i la ache e̩wñ gu e̩gu du n; "
9,"i agwo̩nyʼo̩la uke̩do̩no alu ku ma ko̩ wa le̩ kpaka, todu kʼi neke ne̩ uko̩-o̩la o̩lafia le̩ adugbe̩do̩ ñw one̩, kʼi laño̩ neke du o̩la bi abo ku ma jiñwa."
10,"Todu ame̩nugbolu ku ma kʼalu ofo chewewe, ma la kʼone̩ ibe ila, abo e̩pi-eda tule efu ma, "
11,"i dukpe̩ kʼa fʼe̩wñ bʼabo ku ma fʼo̩gbo̩dudu unyi gulo̩ le̩ alu ma; ama chʼabo ki ma dukpe̩ ku ma kʼone̩ n tila, ma kʼone̩ tod ile eje̩ ofo ku ma jakpa-wñ. "
12,"E̩ne̩ʼka efu ma kʼi chʼakache̩ e-ma, kakini, Abo Krit chʼamaremi ogbegbele̩, ame̩la e̩bie̩ne̩ kpʼame̩nogbodala ku ma chʼachajefu ma che. "
13,"Ibenu kʼabo le̩ gba chʼochochi. E̩wñ ki chi kʼe̩ dʼo̩la bi ma una una chʼutodu kʼama ki nʼo̩lafia ef o̩la e̩do̩-ekono, "
14,ku ma ki we enyʼalo̩ kʼamaJu alo̩ kpai uko̩ kʼamone̩ ku ma jʼana bʼochochi te̩ ate̩ eti. 
15,"E̩wñ du de̩ hiolo ñw ame̩ne̩hiolo; e̩wñ du muda de̩ hiolo ugbo abo kʼe̩wñ damʼuma o̩la ku ma la ko̩ eke̩do̩no n: e̩wñʼka la damʼibe ma, kpʼakone̩o̩la ki dʼefu e̩do̩-ma me̩. "
16,"Ma gbalu ka kʼama chema O̩jo̩; ma la nʼuko̩lo̩-ma araire̩ wñ, e̩wñ ihie̩ne̩ ma che, ma gbo̩lagbo̩ n, ma fʼuma ñwa go ka ku ma nyo̩ ef uko̩lo̩ ki nyo̩ du n."
