Verse,Text
1,"E̩ nare ma wa ku ma fʼo̩la-ma kamuhite̩ ñw amagboji kpʼabo̩da, ku ma gbo̩lagbo̩, kʼo̩la-ma ki che̩mu tane̩ tod uko̩lo̩ ki nyo̩ du, "
2,"ma ki chakpabie̩ e̩ne̩ du n, ma ki chʼe̩naida n, ma ki de̩ yo̩o̩, ma ki dʼo̩chikimi du ña amone̩ du. "
3,"Todu i ño̩ nʼe̩gba kʼawa onugo ma nʼibe n me̩, a la gbo̩lagbo̩ n, ma ko wa la, a jo̩ achʼadu e̩ño̩ e̩wñ kpʼe̩wñ ube̩do̩ ojoji ojoji, oñ a jo̩ ef e̩wñ e̩bie̩ne̩ eche kpai ule̩na, e̩wñ ulaka a che, a laño̩ nʼulaka omune̩ ache. "
4,"Ama e̩gba kʼumo̩la kpai eche̩do̩ kʼO̩jo̩ E̩najadu-wa che̩do̩ amone̩ kwotejugede, "
5,"i kwʼef uko̩lo̩ eche o̩kpakpa kʼa jʼache n, chai alu kʼejumomi e-wñ de̩ oñ i jadu wa, lef egwe̩ ku ma gwe̩ wa, ebi wa etito̩ le̩, kpai eñwo̩che kʼAfu Kiafo̩ añwʼuwa che etito̩. "
6,Owñ chʼe-kʼi dudanyʼuwa oji nana nana lefu Jisus Kraist E̩najadu-wa; 
7,todu kʼabu kʼufe̩de̩nyo̩-wñ fʼale da ñw a kʼa ki mud abo ku ma je̩ e̩wñ ogu le̩ teju ibe ekono e-iñmi ogbegbele̩. 
8,O̩la kʼa ake̩do̩no i che.
9,"e̩ ki muda dubigbʼene e̩fule̩fu kpʼo̩la o̩gba nʼo̩gba jeele, kpai aro̩, kpai uja egidi ugbo o̩lo̩da; todu abʼe-le̩ nʼile n, e̩wñ o̩wai i la che. "
10,"E̩ne̩ ki chʼadane̩kpeju kʼe̩ kʼo̩ o̩la onuʼka, e̩ kʼo̩ onuʼkeji e̩ ki ño̩ naru ge̩ n; "
11,"abu kʼe̩ chema ka kʼe̩ne̩ abe̩i murida bʼo̩na te̩ me̩ e̩wñ adure i ache le, i fʼo̩la-wñ kpabi me̩."
12,"E̩gba du kʼu nakpe̩ Arte̩mas abe̩-ku Taikikus wʼugbo we̩, e̩ ki che̩do̩ chacha kʼe̩ wʼugbo mi Niko̩po̩lis; todu u fʼibe-mi kpe̩ ka kʼu nagugu o̩mo̩ uwo-i. "
13,"E̩ nache̩do̩ chacha kʼe̩ fʼaihite̩ Zinas, amoli-o̩lo̩da le̩, kpai Apo̩lo̩s che ku ma nyo̩gba ule̩-ma todu kʼe̩wñ du ki ña ma n. "
14,"Abo-wa ki ño̩ ko̩che̩ eto̩gba ef uko̩lo̩ o̩me̩me̩le̩ eche tod eku e̩wñ ki aku one̩, todu kʼama ki we erʼe̩ro n."
15,Amone̩ du ku ma jʼugbo mi agwʼe̩. E̩ nagwa abo ku ma che̩do̩ wa ef e̩do̩-ekono.
