Verse,Text
1,"O̩la Jihofa ki wʼugbo Ze̩fanaya, o̩ma Kushai, o̩ma Ge̩dalaya, o̩ma Amaraya, o̩ma He̩zakaya, iko Josaya, o̩ma Amo̩n, onu Juda."
2,Omi agbʼe̩wñ du rinyo̩
3,Nagbʼone̩ kpʼe̩la abe̩re̩me̩le̩ rinyo̩;
4,Nanʼo̩wo̩-mi dala ab iJuda
5,kpʼabo ku ma dojikane̩ ñw uwewe e̩wñ ojale ojokunyi;
6,"kpʼabo ku ma muna ubi bʼiJihofa ubi te̩,"
7,Chechi eju Ondu Jihofa ki dane̩!
8,I la awa tu o̩jo̩ iche̩bo̩ Jihofa le̩—
9,O̩jo̩ le̩ omi la awa bʼudu
10,"Oñ o̩jo̩ le̩, Jihofa aka-i,"
11,"Me̩ kwa, ame̩ ku me̩ dodo Agu!"
12,"Iko le̩ omi anʼagege atejane̩ efu Je̩rusale̩m,"
13,"E̩wñ anana-ma la amud e̩wñ kʼogu je̩,"
14,"O̩jo̩ inaina e-Jihofa le̩ me̩rʼewa,"
15,"O̩jo̩ le̩ chʼo̩jo̩ uwe̩do̩,"
16,o̩jo̩ ojike efa
17,"Nadʼo̩pe̩cha wa abʼamone̩ ma,"
18,Ajifa-ma kpʼo̩jamalia
