Verse,Text
1,Me̩ ki bi Jihofa omi iko omi otitala
2,"Todu amude te̩tako̩la ibe̩te̩,"
3,"Uwe̩do̩-mi mutajo bʼamadide ame̩ wño̩re̩ oji ma,"
4,"Ugbo-wñ okuta ukpoji alo le̩ akwo wa,"
5,Ma la adab amagbiti ku ma jʼatʼame̩nuja-ma mane̩
6,"Tak u nadʼugbiti ñw unyi Juda,"
7,"Ifraim la adab agbiti,"
8,"Nafufo do̩ ma oñ nako ma wa jʼugboʼkate,"
9,"Oñ nako ma gbe̩ ef amone̩ ojoji ojoji,"
10,"Omi ñʼako ma kwʼojane̩ Ijipti wa ge̩,"
11,"Tak i alale gu ef ohimini o̩pe̩cha du,"
12,Oñ nadʼukpahiu ñw ma efu Jihofa
