Verse,Text
1,"O Chineke, anyị anụla;"
2,"I ji aka gị chụpụ ndị mba ọzọ,"
3,"Ọ bụghị site na mma agha ha ka ha ji merie nweta ala a,"
4,"Ị bụ eze m na Chineke m,"
5,"Nʼihi ọ bụ naanị site nʼike gị, ya na aha gị,"
6,"Atụkwasịghị m obi m nʼụta m,"
7,"ma i na-enye anyị mmeri nʼebe ndị iro anyị nọ,"
8,"Nʼime Chineke ka ịnya isi anyị dị ogologo ụbọchị niile,"
9,"Ma ugbu a, ị jụla anyị ma weda anyị nʼala;"
10,"I mere ka anyị site nʼihu ndị iro anyị gbalaga,"
11,"Ị gbakụtara anyị azụ ka e ripịa anyị dịka atụrụ,"
12,"I rere ndị gị ọnụ ala,"
13,"I meela ka anyị bụrụ nkọcha nye ndị agbataobi anyị,"
14,"I meela anyị ka anyị bụrụ ihe ịmaatụ ọchị nʼetiti mba niile,"
15,"Ogologo ụbọchị niile, ihere m dị m nʼihu,"
16,"mgbe ndị nkwulu na ndị nkọcha na-eji m eme ihe ọchị,"
17,"Ọ bụ ezie na ihe ndị a adakwasịla anyị,"
18,Obi anyị ahapụbeghị gị!
19,"Ma i gwepịara anyị mee ka anyị bụrụ ebe nkịta ọhịa na-akpagharị,"
20,"Ọ bụrụ na anyị chefuru aha Chineke anyị,"
21,"ọ bụ na Chineke agaraghị achọpụta ya,"
22,"Ọ bụ nʼihi gị ka anyị na ọnwụ ji agba mgba, ogologo ụbọchị niile."
23,"O, Onyenwe m teta! Gịnị mere i ji arahụ ụra?"
24,"Gịnị mere i ji ezopụ ihu gị,"
25,"E tidala anyị nʼala, nʼuzuzu,"
26,Bilie ma nyere anyị aka;
