Verse,Text
1,"Mgbe Mọdekai nụrụ ihe mere, ọ dọwara uwe ya, yikwasị onwe ya akwa mkpe, werekwa ntụ kpokwasị onwe ya, pụọ baa nʼime obodo, na-eti mkpu akwa. "
2,"Ọ bịaruru nʼọnụ ụzọ ama nke ụlọeze guzo nʼebe ahụ, nʼihi na ọ dịghị onye a na-ekwe ka o yiri akwa mkpe banye nʼogige ụlọeze. "
3,"Nʼalaeze ahụ ndị Juu niile, nọ nʼiru ụjụ na ibu ọnụ na ịkwa akwa na iti aka nʼobi nʼihi iwu eze ahụ. Ọtụtụ yikwa akwa mkpe ha, dinarakwa na ntụ."
4,"Mgbe ụmụ agbọghọ na ndị onozi Esta gwara ya ihe banyere Mọdekai, o wutere ya nke ukwuu. O zigaara Mọdekai uwe, ka o nwee ike gbanwee uwe mkpe ahụ o yi, ma ọ naraghị ha. "
5,"Mgbe ahụ, Esta ziri ka a kpọọ Hatak, otu nʼime ndị onozi eze, onye nke ọ bụ ọrụ ya ijere Esta ozi, gwa ya ka o jekwuru Mọdekai jụọ ya ihe kpatara nke a, na ihe mere o ji na-eme otu a."
6,Hatak jere nʼama obodo ahụ ebe ọ hụrụ Mọdekai nʼọnụ ụzọ ụlọeze. 
7,"Mọdekai kọọrọ ya ihe niile, na otu Heman si kwee nkwa ịkwụnye ego nʼụlọakụ eze ka e were laa ndị Juu nʼiyi. "
8,"O nyekwara ya akwụkwọ iwu eze ebe e dere maka ịla ha nʼiyi, bụ nke akpọsara na Susa, ka o gosi ya Esta, kọwaakwa ya nye ya. Ọ gwara ya ka o nye ya iwu ka ọ bakwuru eze rịọ ya arịrịọ amara, rịọkwa ya ebere nʼihi ndị ya."
9,Hatak lọghachiri zie Esta ihe niile Mọdekai kwuru. 
10,"Ma Esta gwara Hatak ka o jeghachi gwa Mọdekai sị, "
11,"“Ụwa niile maara nke ọma na onye ọbụla, maọbụ nwoke maọbụ nwanyị, banyere nʼime ime ụlọeze mgbe eze na-akpọghị ya, ga-anwụ, karịakwa ma eze o setịpụrụ mkpara ọlaedo ya gosi onye ahụ na ọ nabatara ọbịbịa ya. Ugbu a, o meela ihe dị ka otu ọnwa kemgbe eze na-ezibeghị ozi ka a kpọọ m.”"
12,"Mgbe ha gwara Mọdekai ihe Esta zara, "
13,"o zighachiri ọsịsa a, “Echela nʼihi na i bi nʼụlọeze na naanị gị ga-afọdụ ndụ nʼetiti ndị Juu niile. "
14,"Ọ bụrụ na ị gba nkịtị nʼoge a, oghere na napụta ndị Juu ga-esite nʼụzọ ọzọ bịa, ma gị onwe gị na ụlọ nna gị ga-ala nʼiyi. Onye makwanụ ihe mere i ji nọrọ nʼụlọeze nʼoge dị otu a?”"
15,"Mgbe ahụ, Esta zara Mọdekai sị; "
16,"“Gaa kpọkọtaa ndị Juu niile bi na Susa, bukwaaranụ m ọnụ. Unu erila ihe ọbụla, maọbụ ṅụọ ihe ọbụla abalị atọ, ehihie na abalị. Mụ onwe m kwa, na ụmụ agbọghọ na-ejere m ozi, ga-emekwa otu ihe ahụ. Emesịa, ọ bụ ezie na ọ bụ ihe megidere iwu, ma aga m aga hụ eze anya. Ihe ọ pụtara ya pụta. Ọ pụtara m ọnwụ, ka m nwụọ!”"
17,"Mọdekai pụrụ, gaa mee dịka Esta gwara ya."
