Verse,Text
1,"Mgbe Aịzik ghọrọ agadi, nʼoge anya ya na-adịghị ahụzi ụzọ nke ọma, ọ kpọrọ Ịsọ ọkpara ya, sị ya, “Nwa m nwoke.”"
2,"Aịzik gwara ya sị, “Ugbu a, emeela m agadi, amakwaghị m ụbọchị ọnwụ m. "
3,"Ya mere, were ihe ịchụ nta gị, ụta gị na àkụ gị, gaa nʼọhịa, gbutere m anụ. "
4,"Siere m nri ụtọ otu ahụ o si amasị m, butere m ya ka m rie, ka mụ onwe m gọzie gị tupu m nwụọ.”"
5,"Ma Ribeka nọ na-ege ntị mgbe Aịzik na-agwa nwa ya Ịsọ okwu. Nke mere na mgbe Ịsọ gawara nʼọhịa ịchụ nta, "
6,"Ribeka gwara Jekọb nwa ya okwu sị ya, “Lee, anụrụ m ka nna gị na-agwa nwanne gị Ịsọ okwu sị ya, "
7,"‘Gaa nʼọhịa gbute anụ, siere m nri ụtọ, ka m nọdụ nʼihu "
8,"Ugbu a, nwa m nwoke, gee ntị nke ọma, mee ihe niile m gwara gị. "
9,"Gaa ugbu a nʼigwe anụ ụlọ wetara m ụmụ nwa ewu abụọ dị mma ka m jiri ha siere nna gị nri dị ụtọ, ụdị ahụ na-amasị ya. "
10,"Ị ga-eburu ya bujere nna gị ka o rie, ka ya onwe ya gọzie gị tupu ọ nwụọ.”"
11,"Ma Jekọb gwara Ribeka nne ya okwu sị ya, “Nwanne m nwoke Ịsọ bụ onye gbara ajị. Ahụ nke m na-akwọ mụrụmụrụ. "
12,"Gịnị ga-eme ma nna m metụ m aka nʼahụ? Nʼihi ya, aga m abụ onye na-aghọ ya aghụghọ, aga m esi otu a wetara onwe m ịbụ ọnụ kama ngọzị.”"
13,"Nne ya gwara ya sị, “Nwa m nwoke ka ọbụbụ ọnụ gị dakwasị m. Naanị mee ihe m kwuru. Gaa wetara m ha.”"
14,"Ya mere, ọ gara weta ha nye nne ya. O ji ha sie nri dị ụtọ, ụdị nke na-amasị nna ya. "
15,"Emesịa, Ribeka chịpụtara uwe Ịsọ ọkpara ya, ndị dị mma, ndị ọ debere nʼụlọ ya, nye ya nwa ya nta bụ Jekọb. "
16,O jikwa akpụkpọ anụ ụmụ ewu nwere ajị ajị kee Jekọb nʼaka na nʼakụkụ olu ya na-akwọ mụrụmụrụ.
17,"O bunyere nwa ya nwoke Jekọb nri ahụ na-atọ ụtọ, na achịcha o mere."
18,"O jekwuuru nna ya sị ya, “Nna m.”"
19,"Jekọb zara nna ya sị ya, “Abụ m Ịsọ, ọkpara gị. Emeela m ihe ị sị m mee. Biko bilie ka i rie anụ m gbutere nʼọhịa, ka gị onwe gị gọzie m.”"
20,"Ma Aịzik jụrụ nwa ya nwoke sị, “Olee otu i si chọta ya ngwangwa, nwa m?”"
21,"Mgbe ahụ Aịzik gwara Jekọb sị, “Bịa nso ka m metụ gị aka nwa m nwoke, ka m mata ma ị bụ Ịsọ nʼeziokwu.”"
22,"Jekọb jere nna ya Aịzik nso, onye metụrụ ya aka kwuo sị, “Olu bụ olu Jekọb ma aka gị bụ aka Ịsọ.” "
23,"Ọ chọpụtaghị na ọ bụ Jekọb, nʼihi na aka ya dị ajị ajị dịka nke Ịsọ. Ya mere, ọ gọziri ya. "
24,"Ma ọ jụkwara ya ajụjụ ọzọ sị ya, “Ị bụ nwa m nwoke Ịsọ nʼeziokwu?”"
25,"Mgbe ahụ, Aịzik zara sị ya, “Butere m ụfọdụ nʼime anụ ahụ i gbutere ka m rie, nye gị ngọzị m.”"
26,"Mgbe ahụ, nna ya Aịzik sịrị ya, “Bịa nʼebe a nwa m nwoke, sutu m ọnụ.”"
