Verse,Text
1,"Isi okwu dị nʼihe niile anyị na-ekwu bụ nke a, na anyị nwere onyeisi nchụaja dị otu a, bụ onye na-anọdụ ala nʼaka nri nke ocheeze onye ahụ kachasị ihe niile elu nʼeluigwe. "
2,"Onye na-eje ozi nʼebe nsọ ahụ, bụ ezi ụlọ ikwu ahụ Onyenwe anyị ji aka ya wuo, ọ bụghị mmadụ wuru ya."
3,"A họpụtara onyeisi nchụaja ọbụla ka ọ na-achụ aja na-enyekwa onyinye. Nʼihi nke a, o kwesikwara ka ọ nwee ihe ọ ga-eji na-achụ aja. "
4,"A sịkwarị na ọ nọ nʼụwa, o garaghị a bụ onye nchụaja nʼihi na e nwere ndị nchụaja na-achụ aja dị ka usoro iwu si dị. "
5,"Ha na-eje ozi nʼebe nsọ ahụ nke bụ oyiyi na onyinyo banyere ihe nke dị nʼeluigwe. Ọ bụ nke a mere e ji dọọ Mosis aka na ntị mgbe ọ na-akwado iwu ụlọ ikwu ahụ, “Lezie anya hụ na i mere ihe niile nʼusoro dị ka e si gosiri gị nʼelu ugwu.”"
6,"Ma otu ọ dị, ọ natara ọrụ ije ozi karịrị nke ha, dị ka onye ogbugbo nke ọgbụgba ndụ dị elu karịa nke ochie, ebe ọgbụgba ndụ nke ọhụrụ a o mere ka ọ dịrị nʼetiti ya na mmadụ dabeere na nkwa dị mma karịa."
7,"Ọ bụrụ na ọgbụgba ndụ ochie ahụ zuruoke, ọ garaghị aba uru ka achọwa ọgbụgba ndụ ọzọ. "
8,"Ma Chineke chọpụtara ezughị oke ha mgbe ọ sịrị,"
9,Ọ bụghị ụdị ọgbụgba ndụ
10,"Ma nke a bụ ọgbụgba ndụ m ga-eme ka ọ dịrị nʼetiti mụ onwe m na ụlọ Izrel,"
11,"Ọ dịghị onye ọbụla nʼetiti ha ga-akụziri onye agbataobi ya ihe,"
12,"Nʼihi na aga m agbaghara ajọ omume ha,"
13,"Mgbe o kwuru okwu banyere ọgbụgba ndụ ọhụrụ, ọ pụtara na nke ochie ahụ abụrụla ihe gabigara agabiga. Ihe dị ochie nke gabigara ga-emesịa ghara ịdịkwa."
